arm_id,fabric,ring_size,k,pair_count,geometric_mean_ratio,median_ratio,minimum_ratio,maximum_ratio,ci95_low,ci95_high,bootstrap_index_sha256,faster_2plus,exact_tie,one_tick_tie,slower_2plus
proportional_2tier_p16_k16,2tier,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_2tier_p16_k2,2tier,16,2,100,0.9721691077144898,1.0,0.750000000000001,1.0,0.9622961807978153,0.9809792884680255,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,39,57,4,0
proportional_2tier_p16_k4,2tier,16,4,100,0.9798004855681861,1.0,0.7883211678832125,1.0,0.9692864807173923,0.9891959522794022,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,15,85,0,0
proportional_2tier_p16_k8,2tier,16,8,100,0.9992856656185499,1.0,0.931034482758621,1.0,0.9978585273119694,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,1,99,0,0
proportional_2tier_p64_k16,2tier,64,16,100,0.9411142005348149,0.9473684210526319,0.8372093023255821,1.0,0.9340689135744186,0.9480750334464404,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,91,8,1,0
proportional_2tier_p64_k2,2tier,64,2,100,0.9767046047847622,0.9837301587301588,0.9111111111111114,1.0,0.972142449181523,0.9811053536535267,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,71,25,4,0
proportional_2tier_p64_k4,2tier,64,4,100,0.9203429079013314,0.9353896103896107,0.7292817679558019,0.985611510791367,0.909570797958866,0.9304571297253589,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,100,0,0,0
proportional_2tier_p64_k8,2tier,64,8,100,0.8727341746957726,0.8780487804878054,0.7448275862068975,1.0,0.8631148458616574,0.8824420893223762,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,98,1,1,0
proportional_3tier_nb_p16_k16,3tier_nb,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,0,100,0,0
proportional_3tier_nb_p16_k2,3tier_nb,16,2,100,0.9977357100626896,1.0,0.9536423841059605,1.0,0.9956750015065066,0.9993926282981501,97a42157ab7dd18246ac02f284afb9da83a406f01b467cae35efaab2ad7a654f,5,93,2,0
