pair_id,arm_id,sample_id,fabric,ring_size,k,link_local_time_s,network_maxmin_time_s,network_over_link_local,log_network_over_link_local,network_minus_link_local_s,network_minus_link_local_ms,network_minus_link_local_ticks,tick_class,historical_network_minus_link_local_ticks,historical_tick_class,material_historical_ordering_reversal,equal_over_corrected_link_local,equal_over_corrected_network_maxmin,link_local_prop_minus_equal_ticks,network_maxmin_prop_minus_equal_ticks,equal_claim_review_trigger
a049_proportional_3tier_nb_p16_k2__s000,proportional_3tier_nb_p16_k2,0,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s001,proportional_3tier_nb_p16_k2,1,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s002,proportional_3tier_nb_p16_k2,2,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s003,proportional_3tier_nb_p16_k2,3,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s004,proportional_3tier_nb_p16_k2,4,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s005,proportional_3tier_nb_p16_k2,5,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s006,proportional_3tier_nb_p16_k2,6,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s007,proportional_3tier_nb_p16_k2,7,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s008,proportional_3tier_nb_p16_k2,8,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s009,proportional_3tier_nb_p16_k2,9,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s010,proportional_3tier_nb_p16_k2,10,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s011,proportional_3tier_nb_p16_k2,11,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s012,proportional_3tier_nb_p16_k2,12,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s013,proportional_3tier_nb_p16_k2,13,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
