dimension,value,pair_count,geometric_mean_ratio,median_ratio,minimum_ratio,maximum_ratio,signed_delta_ms_mean,absolute_delta_ms_mean,faster_2plus,exact_tie,one_tick_tie,slower_2plus
fabric,2tier,800,0.956865271035202,0.9876524390243903,0.7292817679558019,1.0,-0.28793749999999824,0.28793749999999824,415,375,10,0
fabric,3tier_nb,800,0.9891724109147552,1.0,0.776978417266188,1.0,-0.06937499999999958,0.06937499999999958,91,664,45,0
fabric,3tier_os2,800,0.9773504313728867,1.0,0.7439024390243911,1.0,-0.14349999999999924,0.14349999999999924,165,628,7,0
fabric,3tier_os4,800,0.9657289507379085,1.0,0.7200000000000011,1.0,-0.2130624999999987,0.2130624999999987,299,497,4,0
ring_size,16,1600,0.9893223839943103,1.0,0.750000000000001,1.0,-0.06543749999999963,0.06543749999999963,170,1424,6,0
ring_size,64,1600,0.955380424029747,0.9915254237288136,0.7200000000000011,1.0,-0.29149999999999826,0.29149999999999826,800,740,60,0
k,16,800,0.9810064592492881,1.0,0.8372093023255821,1.0,-0.10831249999999935,0.10831249999999935,203,595,2,0
k,2,800,0.9892753772418039,1.0,0.750000000000001,1.0,-0.08887499999999957,0.08887499999999957,167,579,54,0
k,4,800,0.9615679218407034,1.0,0.7292817679558019,1.0,-0.25206249999999847,0.25206249999999847,277,514,9,0
k,8,800,0.9573248090604121,1.0,0.7200000000000011,1.0,-0.2646249999999984,0.2646249999999984,323,476,1,0
