cell,arm,seed,condition,P,k,legacy_time_s,maxmin_time_s,maxmin_vs_legacy_pct,legacy_source,placement_digest,capacity_digest,route_digest,strict_flow_fraction,max_rate_ratio,reclaimed_edge_fraction,reclaimed_tick_fraction,max_reclaimed_fraction,maxmin_ticks,legacy_final_k_mean,maxmin_final_k_mean
N0,equal_k1,0,3tier_nb; no congestion,64,1,0.010749999999999963,0.010749999999999963,0.0,v10.1 frozen,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,a44b72396a5c349fb3a1c7a7a79e2c4361251991cd66306fcb91fa35144e1733,0.0,1.0,0.0,0.0,0.0,215.0,,
N0,equal_k8,0,3tier_nb; no congestion,64,8,0.005399999999999995,0.005399999999999995,0.0,v10.1 frozen,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,fb8820a2536a77f6774dc6e773f5e159b2c85f7a9f5f7e9327e5e1c1426bc0c9,0.0,1.0,0.0,0.0,0.0,108.0,,
N0,prop_k8,0,3tier_nb; no congestion,64,8,0.005399999999999995,0.005399999999999995,0.0,v11.1 frozen,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,fb8820a2536a77f6774dc6e773f5e159b2c85f7a9f5f7e9327e5e1c1426bc0c9,0.0,1.0,0.0,0.0,0.0,108.0,,
N0,equal_k1,199,3tier_nb; no congestion,64,1,0.010749999999999963,0.010749999999999963,0.0,v10.1 frozen,03f4b140352103e295a2451071d0278e0803aabedeb1ce6395201b94fa421600,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,c7bbd32229dc9962f411184f54f8b320b3c9974ba4bdf627ff6725fa84290b11,0.0,1.0,0.0,0.0,0.0,215.0,,
N0,equal_k8,199,3tier_nb; no congestion,64,8,0.008749999999999975,0.008749999999999975,0.0,v10.1 frozen,03f4b140352103e295a2451071d0278e0803aabedeb1ce6395201b94fa421600,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,be1ffacbafcb5fe93882faef69a711fed8fc5f4d06492f077db8e6c54a3a2519,0.08718427095292768,1.3846153846153846,0.09179446994290832,0.6057142857142858,0.19230769230769226,175.0,,
N0,prop_k8,199,3tier_nb; no congestion,64,8,0.006599999999999988,0.005399999999999995,-18.18181818181811,v11.1 frozen,03f4b140352103e295a2451071d0278e0803aabedeb1ce6395201b94fa421600,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,be1ffacbafcb5fe93882faef69a711fed8fc5f4d06492f077db8e6c54a3a2519,0.09765625,1.3846153846153846,0.10230352303523035,1.0,0.19230769230769226,108.0,,
N0,equal_k1,657,3tier_nb; no congestion,64,1,0.01614999999999995,0.01614999999999995,0.0,v10.1 frozen,934b6d31710cd2180845fef33495ac51455ed252da174d6626054752c7c5cbbe,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,dc062878c29b572f4d04f9f3cbfb1dae0635afa186eeea30b4c50853f732910d,0.0,1.0,0.0,0.0,0.0,323.0,,
N0,equal_k8,657,3tier_nb; no congestion,64,8,0.005399999999999995,0.005399999999999995,0.0,v10.1 frozen,934b6d31710cd2180845fef33495ac51455ed252da174d6626054752c7c5cbbe,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9f94d6ccd95edfaed7e5ae9ab4d8a1806ba3795d2b8315070431ea72c5b81a57,0.0,1.0,0.0,0.0,0.0,108.0,,
N0,prop_k8,657,3tier_nb; no congestion,64,8,0.005399999999999995,0.005399999999999995,0.0,v11.1 frozen,934b6d31710cd2180845fef33495ac51455ed252da174d6626054752c7c5cbbe,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9f94d6ccd95edfaed7e5ae9ab4d8a1806ba3795d2b8315070431ea72c5b81a57,0.0,1.0,0.0,0.0,0.0,108.0,,
O0,equal_k1,0,3tier_os4; no congestion,64,1,0.04295000000000072,0.04295000000000072,0.0,v10.1 frozen,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,a44b72396a5c349fb3a1c7a7a79e2c4361251991cd66306fcb91fa35144e1733,0.0,1.0,0.0,0.0,0.0,859.0,,
