arm_id,family,n_pairs,legacy_mean_s,maxmin_mean_s,paired_ratio_mean,paired_ratio_median,paired_ratio_min,paired_ratio_max,maxmin_faster_count,bit_equal_count,maxmin_slower_count,inference_note
background_p16_k1_rate0,background,100,0.040793500000000656,0.040791500000000654,0.99995337995338,1.0,0.9953379953379953,1.0,1,99,0,descriptive_only_CI_and_claim_audit_follow
background_p16_k1_rate1000,background,100,0.04385650000000075,0.04385150000000074,0.9998889324401368,1.0,0.9920182440136829,1.0,2,98,0,descriptive_only_CI_and_claim_audit_follow
background_p16_k1_rate200,background,100,0.04136950000000067,0.04136750000000067,0.99995337995338,1.0,0.9953379953379953,1.0,1,99,0,descriptive_only_CI_and_claim_audit_follow
background_p16_k1_rate500,background,100,0.042354500000000704,0.042354500000000704,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
background_p16_k4_rate0,background,100,0.04050000000000065,0.04050000000000065,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
background_p16_k4_rate1000,background,100,0.041628000000000685,0.041628000000000685,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
background_p16_k4_rate200,background,100,0.040771500000000654,0.040771500000000654,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
background_p16_k4_rate500,background,100,0.04114050000000066,0.04114050000000066,1.0,1.0,1.0,1.0,0,100,0,descriptive_only_CI_and_claim_audit_follow
congestion_hot_spot_p16_k1,congestion,100,0.1312189999999937,0.13073449999999376,0.9972150150024399,1.0,0.948111847794756,1.0,7,93,0,descriptive_only_CI_and_claim_audit_follow
congestion_hot_spot_p16_k2,congestion,100,0.08709149999999853,0.08509249999999875,0.9787010755844219,0.9779161688121624,0.9300349825087514,1.0,52,48,0,descriptive_only_CI_and_claim_audit_follow
congestion_hot_spot_p16_k4,congestion,100,0.060639500000000686,0.059092500000000714,0.9739047478141637,0.9754295400502184,0.9161248374512443,1.0,73,27,0,descriptive_only_CI_and_claim_audit_follow
congestion_hot_spot_p16_k8,congestion,100,0.04425700000000072,0.0430995000000007,0.973571009336285,0.973981864083199,0.9245107176141651,1.0,90,10,0,descriptive_only_CI_and_claim_audit_follow
congestion_iid_p16_k1,congestion,100,0.029232000000000324,0.02905250000000032,0.9960086385619908,1.0,0.9642058165548094,1.0,22,78,0,descriptive_only_CI_and_claim_audit_follow
congestion_iid_p16_k2,congestion,100,0.02424950000000018,0.023883000000000168,0.9846504589318489,0.9892703862660942,0.9396551724137918,1.0,77,23,0,descriptive_only_CI_and_claim_audit_follow
congestion_iid_p16_k4,congestion,100,0.02251750000000013,0.021981500000000116,0.9760952347646996,0.9763025809574761,0.9515418502202633,1.0,99,1,0,descriptive_only_CI_and_claim_audit_follow
congestion_iid_p16_k8,congestion,100,0.021986000000000113,0.021658500000000105,0.9851257875224717,0.9863013698630134,0.9601769911504415,0.9956521739130434,100,0,0,descriptive_only_CI_and_claim_audit_follow
congestion_microburst_p16_k1,congestion,100,0.027099000000000265,0.027086000000000263,0.9997026981017545,1.0,0.996523754345307,1.0,13,87,0,descriptive_only_CI_and_claim_audit_follow
congestion_microburst_p16_k2,congestion,100,0.02300300000000015,0.022967500000000144,0.9984133106868854,1.0,0.9885057471264365,1.0,38,62,0,descriptive_only_CI_and_claim_audit_follow
congestion_microburst_p16_k4,congestion,100,0.021820500000000114,0.021754500000000107,0.9969517323222185,0.9976851851851851,0.9908045977011493,1.0,89,11,0,descriptive_only_CI_and_claim_audit_follow
congestion_microburst_p16_k8,congestion,100,0.021602500000000108,0.021559000000000106,0.997987073389787,0.9976851851851851,0.995381062355658,1.0,79,21,0,descriptive_only_CI_and_claim_audit_follow
congestion_onoff_p16_k1,congestion,100,0.09084699999999814,0.09049299999999817,0.9962600405159812,1.0,0.8791451731761325,1.0,10,90,0,descriptive_only_CI_and_claim_audit_follow
congestion_onoff_p16_k2,congestion,100,0.059197500000000625,0.0579620000000007,0.9812021898512501,0.9984705096637669,0.8479184367034821,1.0,52,48,0,descriptive_only_CI_and_claim_audit_follow
congestion_onoff_p16_k4,congestion,100,0.043236000000000684,0.041659000000000654,0.9631322963580705,0.973053232756945,0.8704784130688432,1.0,92,8,0,descriptive_only_CI_and_claim_audit_follow
