pair_id,arm_id,sample_id,family,runner,policy,placement_policy,fabric,ring_size,k,affected_fraction,congestion_model,arrival_rate_fps,frozen_method,legacy_time_s,maxmin_time_s,maxmin_over_legacy,maxmin_delta_pct,campaign_use
a001_equal_3tier_nb_p16_k1__s000,equal_3tier_nb_p16_k1,0,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s001,equal_3tier_nb_p16_k1,1,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s002,equal_3tier_nb_p16_k1,2,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s003,equal_3tier_nb_p16_k1,3,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s004,equal_3tier_nb_p16_k1,4,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s005,equal_3tier_nb_p16_k1,5,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s006,equal_3tier_nb_p16_k1,6,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s007,equal_3tier_nb_p16_k1,7,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s008,equal_3tier_nb_p16_k1,8,static_split,simple,equal,,3tier_nb,16,1,,,,,0.010749999999999963,0.010749999999999963,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s009,equal_3tier_nb_p16_k1,9,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s010,equal_3tier_nb_p16_k1,10,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s011,equal_3tier_nb_p16_k1,11,static_split,simple,equal,,3tier_nb,16,1,,,,,0.005399999999999995,0.005399999999999995,1.0,0.0,paired_n100_revalidation
