pair_id,arm_id,sample_id,family,runner,policy,allocator,execution_position,completion_time_s,completion_time_hex,simulated_ticks,wall_time_s,cpu_time_s,simulation_wall_time_s,simulation_cpu_time_s,config_sha256,topology_sha256,ring_sha256,route_sha256,process_initial_sha256,conservation_max_error_B,conservation_remaining_B,foreground_flow_count,adaptive_event_count,final_k_mean,final_k_max,step_count,mean_step_s,p99_step_s,max_step_s,oracle_status,pilot_use
a001_equal_3tier_nb_p16_k1__s000,equal_3tier_nb_p16_k1,0,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.01459669999894686,0.0,0.006500699993921444,0.0,576497887195238ca6962a53823393995c6213795449c0383d31bb31d8523540,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,37c8432e7e1de92c24cadb7af2950de4263654719dddeeff74b4124657e22388,66dde0ece98d32b4fb8b63a1765de6671713c15585690c97ffe61231c4ae7c7a,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s000,equal_3tier_nb_p16_k1,0,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.01800129999173805,0.015625,0.011252199998125434,0.0,576497887195238ca6962a53823393995c6213795449c0383d31bb31d8523540,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,37c8432e7e1de92c24cadb7af2950de4263654719dddeeff74b4124657e22388,66dde0ece98d32b4fb8b63a1765de6671713c15585690c97ffe61231c4ae7c7a,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s001,equal_3tier_nb_p16_k1,1,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.01288539997767657,0.015625,0.007412600010866299,0.015625,263662e29da4b1711d23bd281d4586fbd8a73ae297c5e8b874805ceeba3da1f9,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,57ddb373795121d640976e60dc03fd1d506993e84bcc45ccf38756a597713dc0,270044ea52944a6b5020a2ffd9db459cf94dd4ff14861145db8c918cd48df63e,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s001,equal_3tier_nb_p16_k1,1,static_split,simple,equal,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.01777639999636449,0.015625,0.01124680001521483,0.015625,263662e29da4b1711d23bd281d4586fbd8a73ae297c5e8b874805ceeba3da1f9,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,57ddb373795121d640976e60dc03fd1d506993e84bcc45ccf38756a597713dc0,270044ea52944a6b5020a2ffd9db459cf94dd4ff14861145db8c918cd48df63e,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s002,equal_3tier_nb_p16_k1,2,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.01277739999932237,0.0,0.006112699978984892,0.0,60b2d365e02b9d341a133df3f0be5698f20236dd833576c1a7ba216cbefed464,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,8b00c9e94ddcc844f56411f485ebdfdae519f692f5941bec8a49e861554bf45e,07b84de2a6746645553e2cadf0868ae904c0cd092886173e56e97e5aef811caa,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s002,equal_3tier_nb_p16_k1,2,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.018085499992594123,0.03125,0.012379299994790927,0.015625,60b2d365e02b9d341a133df3f0be5698f20236dd833576c1a7ba216cbefed464,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,8b00c9e94ddcc844f56411f485ebdfdae519f692f5941bec8a49e861554bf45e,07b84de2a6746645553e2cadf0868ae904c0cd092886173e56e97e5aef811caa,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s003,equal_3tier_nb_p16_k1,3,static_split,simple,equal,link_local_equal_share,1,0.010749999999999963,3f8604189374bc55,215,0.016970700002275407,0.015625,0.006470899999840185,0.015625,27ce4acd0c41e7fb0066f159bbab9424fec5ec4e6bedc77444b8a070c06ab7ef,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,e361216e608ac3ab5d22ad6cfe831725313c8ece5bb4aaddc0a916ef25160dcb,6bf6dc747803b585d23c382be5dc617eecae116cb5ccbf6d5f65bccb1c56c5b1,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s003,equal_3tier_nb_p16_k1,3,static_split,simple,equal,network_maxmin,0,0.010749999999999963,3f8604189374bc55,215,0.028339699987554923,0.03125,0.021375700016506016,0.03125,27ce4acd0c41e7fb0066f159bbab9424fec5ec4e6bedc77444b8a070c06ab7ef,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,e361216e608ac3ab5d22ad6cfe831725313c8ece5bb4aaddc0a916ef25160dcb,6bf6dc747803b585d23c382be5dc617eecae116cb5ccbf6d5f65bccb1c56c5b1,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s004,equal_3tier_nb_p16_k1,4,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.011603400023886934,0.015625,0.005648899998050183,0.0,1cecd9baa811ae7328648353ef6b4b9b9cd93dc7b0099d65fd63949beb99b19d,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,f5a19348b3a14ea01ebb742edafdad5ec5b2d1c5b858ed381cd1d4c81c628cf7,036230fd9dd9f8a1c0212cddb1a8ff409520782dd7ca328f9755b5722be465a4,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s004,equal_3tier_nb_p16_k1,4,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.031491999980062246,0.03125,0.0258536999754142,0.03125,1cecd9baa811ae7328648353ef6b4b9b9cd93dc7b0099d65fd63949beb99b19d,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,f5a19348b3a14ea01ebb742edafdad5ec5b2d1c5b858ed381cd1d4c81c628cf7,036230fd9dd9f8a1c0212cddb1a8ff409520782dd7ca328f9755b5722be465a4,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
