fabric,ring_size,k,n_pairs,legacy_prop_advantage_mean,legacy_prop_advantage_mean_ci_low,legacy_prop_advantage_mean_ci_high,maxmin_prop_advantage_mean,maxmin_prop_advantage_mean_ci_low,maxmin_prop_advantage_mean_ci_high,amplification_geometric_mean,amplification_geometric_ci_low,amplification_geometric_ci_high,amplification_mean,amplification_mean_ci_low,amplification_mean_ci_high,amplification_gt_one_count,amplification_equal_one_count,amplification_lt_one_count,inference
2tier,16,2,100,1.0513684288207812,1.036145795899858,1.0685185648647257,1.0869081128747795,1.059750352733686,1.1189870436507932,1.0286276246227766,1.0196428740334096,1.0392226282616912,1.0299095238095237,1.0203371626984126,1.041288492063492,43,57,0,masking_supported_pointwise_95pct_CI
2tier,16,4,100,1.0148860173289111,1.007319924809226,1.0236742095518068,1.0398072215422274,1.0209302325581393,1.0611842105263154,1.0210194338905112,1.0112520064672255,1.0322212391962389,1.0225088399292805,1.012069336778639,1.034414298018949,15,85,0,masking_supported_pointwise_95pct_CI
2tier,16,8,100,1.0004310344827585,1.0,1.001293103448276,1.0012037037037036,1.0,1.0036111111111112,1.000714845019825,1.0,1.0021460684349708,1.0007407407407407,1.0,1.0022222222222223,1,99,0,pointwise_95pct_CI_includes_one
2tier,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
2tier,64,2,100,1.1683373166610869,1.1436846883331733,1.1933188148331275,1.1983246788683266,1.1695193305284426,1.228030057807606,1.0239073271113222,1.0193824980032917,1.028848218234476,1.0241914886069876,1.0196051274631586,1.0291879234661625,75,25,0,masking_supported_pointwise_95pct_CI
2tier,64,4,100,1.2522552646295368,1.232675790939026,1.2722181524173921,1.3671100278119992,1.3332121886607533,1.403740016735582,1.0867041586212873,1.07466359498012,1.099696092672392,1.0886557644228583,1.076002321096002,1.1023172096722802,100,0,0,masking_supported_pointwise_95pct_CI
2tier,64,8,100,1.21006906363351,1.193423923371472,1.2273224529554252,1.3915831660795797,1.3611836248764497,1.4231181030659155,1.1457314955317166,1.1331357745571358,1.1585269346613918,1.147575900396714,1.1349571432714178,1.1604113335646946,99,1,0,masking_supported_pointwise_95pct_CI
2tier,64,16,100,1.1124771198912997,1.099199656271371,1.1262822066304221,1.1852777777777768,1.163238425925925,1.208425925925925,1.0625703017037906,1.0548512860151058,1.0706040361924078,1.0633333333333328,1.0555532407407402,1.0714814814814808,92,8,0,masking_supported_pointwise_95pct_CI
3tier_nb,16,2,100,1.006929000462036,1.002185430463576,1.013858000924072,1.0094571428571428,1.00285,1.0180214285714286,1.0022694285816112,1.00060774082643,1.0043437853586257,1.0023158730158732,1.0006194444444443,1.004431746031746,7,93,0,masking_supported_pointwise_95pct_CI
3tier_nb,16,4,100,1.0022845975188353,1.0,1.0062238712966636,1.0075,1.0,1.02,1.0041525838347671,1.0,1.0108700527221604,1.0046296296296295,1.0,1.0121296296296296,2,98,0,pointwise_95pct_CI_includes_one
3tier_nb,16,8,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,models_identical_in_this_cell
