pair_id,arm_id,sample_id,family,runner,policy,allocator,execution_position,completion_time_s,completion_time_hex,simulated_ticks,wall_time_s,cpu_time_s,simulation_wall_time_s,simulation_cpu_time_s,config_sha256,topology_sha256,ring_sha256,route_sha256,process_initial_sha256,conservation_max_error_B,conservation_remaining_B,foreground_flow_count,adaptive_event_count,final_k_mean,final_k_max,step_count,mean_step_s,p99_step_s,max_step_s,oracle_status,pilot_use
a01_nb_p64_equal_k8__s000,nb_p64_equal_k8,0,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.23154690000228584,0.234375,0.20720099998288788,0.203125,8c21bcdad614155603a3a9248278b7ff3508f172e0ba6de874f6b1b88c365764,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,7a39face303516e2672a762e20dafa23d460b68d54ba82102c715d2efae375bc,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,exact_binary64_match,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s000,nb_p64_equal_k8,0,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.2523489999875892,0.25,0.2280105999961961,0.21875,8c21bcdad614155603a3a9248278b7ff3508f172e0ba6de874f6b1b88c365764,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,7a39face303516e2672a762e20dafa23d460b68d54ba82102c715d2efae375bc,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,not_applicable_new_allocator,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s017,nb_p64_equal_k8,17,static_split,simple,equal,link_local_equal_share,1,0.006049999999999991,3f78c7e28240b776,121,0.24232700001448393,0.234375,0.21865019999677315,0.21875,a385fc7d7dd8c9e58e8c150a3498a981ef25ef9a60b398d26c3d9cf0312271ff,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,8aad60a6b37bb6d9996fcabb23d91516898a899adb2970cd2de78c5871a3a939,1e6903bfd6119844df04b9c9a887cda295cd3d6c81e410371a9ddb9ec325a81a,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,exact_binary64_match,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s017,nb_p64_equal_k8,17,static_split,simple,equal,network_maxmin,0,0.006049999999999991,3f78c7e28240b776,121,0.2768766999943182,0.28125,0.2473290000052657,0.25,a385fc7d7dd8c9e58e8c150a3498a981ef25ef9a60b398d26c3d9cf0312271ff,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,8aad60a6b37bb6d9996fcabb23d91516898a899adb2970cd2de78c5871a3a939,1e6903bfd6119844df04b9c9a887cda295cd3d6c81e410371a9ddb9ec325a81a,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,not_applicable_new_allocator,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s043,nb_p64_equal_k8,43,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.2170654000074137,0.21875,0.1931922000076156,0.1875,c65768ac4618fcc1ceef73895d5a0d2534ca28d1f6362af82ef77001d4c921c3,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9376389ee8765153822c3333940c852c3858d941681ef804728140da78af67d2,a26b905d997fb7d3b7453a1ac0b4925b83d92edc65f691a654f210b14be0816a,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,exact_binary64_match,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s043,nb_p64_equal_k8,43,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.2603573999949731,0.25,0.23468979998142458,0.234375,c65768ac4618fcc1ceef73895d5a0d2534ca28d1f6362af82ef77001d4c921c3,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,9376389ee8765153822c3333940c852c3858d941681ef804728140da78af67d2,a26b905d997fb7d3b7453a1ac0b4925b83d92edc65f691a654f210b14be0816a,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,not_applicable_new_allocator,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s071,nb_p64_equal_k8,71,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.24253309998312034,0.25,0.21887159999459982,0.21875,4814d602a00add3b43dbcfd85a5794981c274108392196940b0a4cd7b5ee69c8,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,37aa37a245ec0711166c2d0df3aa67ea5c5b461debb393d1fd036fd7c8b181cd,97f80072d50687c78096137d7780a7d9e23992407804f91e358ba88dc2a254dd,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,exact_binary64_match,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s071,nb_p64_equal_k8,71,static_split,simple,equal,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.2874156000034418,0.28125,0.2646928000031039,0.265625,4814d602a00add3b43dbcfd85a5794981c274108392196940b0a4cd7b5ee69c8,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,37aa37a245ec0711166c2d0df3aa67ea5c5b461debb393d1fd036fd7c8b181cd,97f80072d50687c78096137d7780a7d9e23992407804f91e358ba88dc2a254dd,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,not_applicable_new_allocator,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s099,nb_p64_equal_k8,99,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.23200710001401603,0.234375,0.20681259999400936,0.203125,fdd1de256cd178e28edcc016b17b8be9447a29ee2c6c585c56ebbbc70339d61b,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,6888e4484986ad870b8206d94ea0e28abd921ffdbc89bede6d7cb2ba05aa8c7e,61f91a65b5e4e39f6dfc66b0ed9de1fcd59e7296bd4752bd389352357f3488aa,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,exact_binary64_match,timing_and_coverage_only_not_a_scientific_estimate
a01_nb_p64_equal_k8__s099,nb_p64_equal_k8,99,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.2819579000060912,0.25,0.253388500015717,0.234375,fdd1de256cd178e28edcc016b17b8be9447a29ee2c6c585c56ebbbc70339d61b,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,6888e4484986ad870b8206d94ea0e28abd921ffdbc89bede6d7cb2ba05aa8c7e,61f91a65b5e4e39f6dfc66b0ed9de1fcd59e7296bd4752bd389352357f3488aa,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,512,,,,,,,,not_applicable_new_allocator,timing_and_coverage_only_not_a_scientific_estimate
