placement,model,k,n,speedup,ci_low,ci_high
contiguous,onoff,1,100,1.0,1.0,1.0
contiguous,onoff,2,100,1.2723251966868458,1.1931305047859886,1.351882984765033
contiguous,onoff,4,100,1.3977865559339717,1.300991953514135,1.5002263688538446
contiguous,onoff,8,100,1.5089922072689952,1.3774455585771685,1.6481178377318697
contiguous,iid,1,100,1.0,1.0,1.0
contiguous,iid,2,100,1.0352096087925693,1.0290342285336211,1.041190396043401
contiguous,iid,4,100,1.0393267911191169,1.032785870864039,1.0458674496515008
contiguous,iid,8,100,1.0403478160584427,1.0326904506217263,1.0480785808882394
contiguous,hot_spot,1,100,1.0,1.0,1.0
contiguous,hot_spot,2,100,1.6059111444377925,1.4914642633680408,1.7153218055928265
contiguous,hot_spot,4,100,1.8386580714215992,1.6844626330640065,1.9925423901959274
contiguous,hot_spot,8,100,1.9928562209500398,1.7846960931254823,2.1996070067507847
contiguous,microburst,1,100,1.0,1.0,1.0
contiguous,microburst,2,100,1.0213413665106832,1.0186538166100418,1.0238633683572902
contiguous,microburst,4,100,1.0211324928040224,1.0183868981471504,1.0237526552417595
contiguous,microburst,8,100,1.0213269682553974,1.0184727491376862,1.0240174108206221
random,onoff,1,100,1.0,1.0,1.0
random,onoff,2,100,1.6311930762741216,1.5693532882143506,1.6922480296251607
random,onoff,4,100,2.2359534169334205,2.1371869626820805,2.336023469560035
random,onoff,8,100,2.7827267028646885,2.6782658076196926,2.886226307319431
random,iid,1,100,1.0,1.0,1.0
random,iid,2,100,1.2134788016690086,1.1510063497710972,1.2819806834818004
random,iid,4,100,1.3018220932092595,1.2316571789699118,1.3780811720106956
random,iid,8,100,1.3323833877497906,1.2612704930965668,1.4106422094722884
random,hot_spot,1,100,1.0,1.0,1.0
random,hot_spot,2,100,1.5823822036478472,1.5229086887669026,1.643283632904613
random,hot_spot,4,100,2.313805475202179,2.206798042008201,2.426685199665053
random,hot_spot,8,100,3.0918148823261977,2.976132370136594,3.2104156924024227
random,microburst,1,100,1.0,1.0,1.0
random,microburst,2,100,1.1849630537577982,1.1164959677081259,1.259901809406983
random,microburst,4,100,1.2445302889998313,1.1704226620843245,1.3258350559391023
random,microburst,8,100,1.2556963225828306,1.1782041366577907,1.3357016833358737
