policy,seed,k,t
compact_pod,36,1,0.06275000000000125
compact_pod,36,8,0.02595000000000023
compact_pod,37,1,0.07784999999999959
compact_pod,37,8,0.033500000000000446
compact_pod,38,1,0.06435000000000107
compact_pod,38,8,0.02980000000000034
compact_pod,39,1,0.07554999999999984
compact_pod,39,8,0.02630000000000024
compact_pod,12,1,0.044300000000000755
compact_pod,12,8,0.025750000000000224
compact_pod,13,1,0.08759999999999851
compact_pod,13,8,0.026150000000000236
compact_pod,14,1,0.08394999999999891
compact_pod,14,8,0.02735000000000027
compact_pod,15,1,0.05840000000000116
compact_pod,15,8,0.028650000000000307
compact_pod,4,1,0.07415
compact_pod,4,8,0.029250000000000324
compact_pod,5,1,0.06050000000000122
compact_pod,5,8,0.02980000000000034
compact_pod,6,1,0.07065000000000038
compact_pod,6,8,0.02660000000000025
compact_pod,7,1,0.05765000000000114
compact_pod,7,8,0.026850000000000256
compact_pod,32,1,0.0677500000000007
compact_pod,32,8,0.03125000000000038
compact_pod,33,1,0.054800000000001056
compact_pod,33,8,0.02810000000000029
compact_pod,34,1,0.07060000000000038
compact_pod,34,8,0.026100000000000234
compact_pod,35,1,0.0731500000000001
compact_pod,35,8,0.03375000000000045
compact_pod,20,1,0.08124999999999921
compact_pod,20,8,0.026450000000000244
compact_pod,21,1,0.0731500000000001
compact_pod,21,8,0.027900000000000286
compact_pod,22,1,0.07714999999999966
compact_pod,22,8,0.028650000000000307
compact_pod,23,1,0.06155000000000125
compact_pod,23,8,0.025450000000000216
compact_pod,0,1,0.08009999999999934
compact_pod,0,8,0.028600000000000306
compact_pod,1,1,0.07779999999999959
compact_pod,1,8,0.025700000000000223
compact_pod,2,1,0.0563000000000011
compact_pod,2,8,0.02705000000000026
compact_pod,3,1,0.056200000000001096
compact_pod,3,8,0.02800000000000029
compact_pod,16,1,0.06570000000000092
compact_pod,16,8,0.029550000000000333
compact_pod,17,1,0.0758499999999998
compact_pod,17,8,0.028200000000000294
compact_pod,18,1,0.053750000000001026
compact_pod,18,8,0.026500000000000246
compact_pod,19,1,0.08649999999999863
compact_pod,19,8,0.02765000000000028
compact_pod,8,1,0.0458000000000008
compact_pod,8,8,0.029950000000000344
compact_pod,9,1,0.07055000000000039
compact_pod,9,8,0.026800000000000254
compact_pod,10,1,0.08414999999999889
compact_pod,10,8,0.02740000000000027
compact_pod,11,1,0.07739999999999964
compact_pod,11,8,0.027250000000000267
compact_pod,28,1,0.040750000000000654
compact_pod,28,8,0.02635000000000024
compact_pod,29,1,0.08484999999999882
compact_pod,29,8,0.02775000000000028
compact_pod,30,1,0.0731500000000001
compact_pod,30,8,0.026750000000000253
compact_pod,31,1,0.08079999999999926
compact_pod,31,8,0.02595000000000023
compact_pod,24,1,0.06745000000000073
compact_pod,24,8,0.033100000000000435
compact_pod,25,1,0.0686500000000006
compact_pod,25,8,0.02705000000000026
compact_pod,26,1,0.0696000000000005
compact_pod,26,8,0.02705000000000026
compact_pod,27,1,0.057900000000001145
compact_pod,27,8,0.02880000000000031
compact_pod,48,1,0.07400000000000001
compact_pod,48,8,0.02705000000000026
compact_pod,49,1,0.07155000000000028
compact_pod,49,8,0.027900000000000286
compact_pod,50,1,0.060350000000001215
compact_pod,50,8,0.029000000000000317
compact_pod,51,1,0.060700000000001225
compact_pod,51,8,0.024700000000000194
compact_pod,44,1,0.06155000000000125
compact_pod,44,8,0.024300000000000183
compact_pod,45,1,0.049200000000000896
compact_pod,45,8,0.02600000000000023
compact_pod,46,1,0.07624999999999976
compact_pod,46,8,0.028600000000000306
compact_pod,47,1,0.08329999999999899
compact_pod,47,8,0.026550000000000247
compact_pod,64,1,0.06810000000000066
compact_pod,64,8,0.026050000000000233
compact_pod,65,1,0.0677500000000007
compact_pod,65,8,0.027550000000000276
compact_pod,66,1,0.07644999999999974
compact_pod,66,8,0.02775000000000028
compact_pod,67,1,0.04155000000000068
compact_pod,67,8,0.024800000000000197
compact_pod,56,1,0.06090000000000123
compact_pod,56,8,0.025700000000000223
compact_pod,57,1,0.06745000000000073
compact_pod,57,8,0.026900000000000257
compact_pod,58,1,0.07469999999999993
compact_pod,58,8,0.027950000000000287
compact_pod,59,1,0.06160000000000125
compact_pod,59,8,0.026100000000000234
compact_pod,76,1,0.0804999999999993
compact_pod,76,8,0.029250000000000324
compact_pod,77,1,0.06045000000000122
compact_pod,77,8,0.027800000000000283
compact_pod,78,1,0.06740000000000074
compact_pod,78,8,0.027600000000000277
compact_pod,79,1,0.08729999999999855
compact_pod,79,8,0.02975000000000034
compact_pod,40,1,0.07539999999999986
compact_pod,40,8,0.027800000000000283
compact_pod,41,1,0.06815000000000065
compact_pod,41,8,0.029200000000000323
compact_pod,42,1,0.08749999999999852
compact_pod,42,8,0.027600000000000277
compact_pod,43,1,0.06580000000000091
compact_pod,43,8,0.02670000000000025
compact_pod,52,1,0.07195000000000024
compact_pod,52,8,0.025450000000000216
compact_pod,53,1,0.06470000000000103
compact_pod,53,8,0.02705000000000026
compact_pod,54,1,0.06660000000000083
compact_pod,54,8,0.02740000000000027
compact_pod,55,1,0.06945000000000051
compact_pod,55,8,0.027900000000000286
compact_pod,68,1,0.07744999999999963
compact_pod,68,8,0.027850000000000284
compact_pod,69,1,0.06295000000000123
compact_pod,69,8,0.0354000000000005
compact_pod,70,1,0.07839999999999953
compact_pod,70,8,0.02700000000000026
compact_pod,71,1,0.05345000000000102
compact_pod,71,8,0.027550000000000276
compact_pod,60,1,0.0759499999999998
compact_pod,60,8,0.028850000000000313
compact_pod,61,1,0.09054999999999819
compact_pod,61,8,0.02800000000000029
compact_pod,62,1,0.05945000000000119
compact_pod,62,8,0.028250000000000296
compact_pod,63,1,0.06610000000000088
compact_pod,63,8,0.027800000000000283
compact_pod,72,1,0.08364999999999895
compact_pod,72,8,0.029350000000000327
compact_pod,73,1,0.06565000000000093
compact_pod,73,8,0.027200000000000266
compact_pod,74,1,0.083199999999999
compact_pod,74,8,0.028500000000000303
compact_pod,75,1,0.06265000000000126
compact_pod,75,8,0.026200000000000237
compact_pod,80,1,0.06895000000000057
compact_pod,80,8,0.02880000000000031
compact_pod,81,1,0.05950000000000119
compact_pod,81,8,0.025500000000000217
compact_pod,82,1,0.07559999999999983
compact_pod,82,8,0.027850000000000284
compact_pod,83,1,0.09374999999999784
compact_pod,83,8,0.028250000000000296
compact_pod,92,1,0.08264999999999906
compact_pod,92,8,0.034900000000000486
compact_pod,93,1,0.0564500000000011
compact_pod,93,8,0.03150000000000039
compact_pod,94,1,0.051950000000000975
compact_pod,94,8,0.02775000000000028
compact_pod,95,1,0.04860000000000088
compact_pod,95,8,0.02630000000000024
compact_pod,96,1,0.053750000000001026
compact_pod,96,8,0.0284000000000003
compact_pod,97,1,0.08889999999999837
compact_pod,97,8,0.030350000000000356
compact_pod,98,1,0.07924999999999943
compact_pod,98,8,0.027600000000000277
compact_pod,99,1,0.055850000000001086
compact_pod,99,8,0.027850000000000284
compact_pod,88,1,0.07514999999999988
compact_pod,88,8,0.02870000000000031
compact_pod,89,1,0.0768499999999997
compact_pod,89,8,0.03395000000000046
compact_pod,90,1,0.058250000000001155
compact_pod,90,8,0.02975000000000034
compact_pod,91,1,0.05675000000000111
compact_pod,91,8,0.027150000000000264
compact_pod,84,1,0.07749999999999962
compact_pod,84,8,0.02695000000000026
compact_pod,85,1,0.09304999999999791
compact_pod,85,8,0.027900000000000286
compact_pod,86,1,0.06935000000000052
compact_pod,86,8,0.028950000000000316
compact_pod,87,1,0.07250000000000018
compact_pod,87,8,0.029650000000000336
random,12,1,0.3989499999999642
random,12,8,0.1049499999999966
random,13,1,0.30224999999997487
random,13,8,0.10174999999999695
random,14,1,0.5268499999999502
random,14,8,0.12824999999999404
random,15,1,0.33969999999997075
random,15,8,0.10534999999999656
random,4,1,0.5682999999999456
random,4,8,0.110449999999996
random,5,1,0.3244999999999724
random,5,8,0.0912999999999981
random,6,1,0.43864999999995985
random,6,8,0.10869999999999619
random,7,1,0.4263499999999612
random,7,8,0.101349999999997
random,16,1,0.364599999999968
random,16,8,0.10264999999999685
random,17,1,0.3594499999999686
random,17,8,0.11909999999999504
random,18,1,0.40954999999996305
random,18,8,0.10919999999999613
random,19,1,0.4216999999999617
random,19,8,0.10979999999999607
random,20,1,0.31979999999997294
random,20,8,0.11559999999999543
random,21,1,0.4127499999999627
random,21,8,0.10789999999999628
random,22,1,0.32434999999997244
random,22,8,0.0958499999999976
random,23,1,0.3137499999999736
random,23,8,0.1331999999999935
random,8,1,0.5813999999999442
random,8,8,0.10519999999999657
random,9,1,0.41969999999996194
random,9,8,0.1021999999999969
random,10,1,0.33234999999997156
random,10,8,0.10649999999999643
random,11,1,0.38039999999996627
random,11,8,0.09739999999999743
random,0,1,0.40764999999996326
random,0,8,0.09514999999999768
random,1,1,0.5447499999999482
random,1,8,0.10334999999999678
random,2,1,0.48114999999995517
random,2,8,0.16244999999999027
random,3,1,0.4310499999999607
random,3,8,0.16439999999999005
random,28,1,0.45309999999995826
random,28,8,0.11089999999999595
random,29,1,0.34314999999997037
random,29,8,0.13689999999999308
random,30,1,0.4816499999999551
random,30,8,0.1311999999999937
random,31,1,0.4407999999999596
random,31,8,0.15424999999999117
random,24,1,0.4746499999999559
random,24,8,0.12469999999999443
random,25,1,0.4844499999999548
random,25,8,0.10554999999999654
random,26,1,0.41874999999996204
random,26,8,0.128499999999994
random,27,1,0.319049999999973
random,27,8,0.11289999999999573
random,36,1,0.36604999999996785
random,36,8,0.12204999999999472
random,37,1,0.4537499999999582
random,37,8,0.11689999999999529
random,38,1,0.40789999999996324
random,38,8,0.12144999999999478
random,39,1,0.43314999999996046
random,39,8,0.10664999999999641
random,32,1,0.4183499999999621
random,32,8,0.1077499999999963
random,33,1,0.419199999999962
random,33,8,0.11984999999999496
random,34,1,0.5568499999999469
random,34,8,0.09824999999999734
random,35,1,0.5169499999999513
random,35,8,0.17229999999998918
random,40,1,0.4210999999999618
random,40,8,0.10429999999999667
random,41,1,0.33429999999997134
random,41,8,0.1130999999999957
random,42,1,0.32334999999997255
random,42,8,0.10389999999999672
random,43,1,0.3926999999999649
random,43,8,0.09594999999999759
random,48,1,0.31329999999997366
random,48,8,0.1085999999999962
random,49,1,0.4265499999999612
random,49,8,0.09664999999999752
random,50,1,0.42589999999996125
random,50,8,0.1004499999999971
random,51,1,0.33079999999997173
random,51,8,0.12804999999999406
random,52,1,0.3873999999999655
random,52,8,0.155749999999991
random,53,1,0.35774999999996876
random,53,8,0.12209999999999471
random,54,1,0.38794999999996543
random,54,8,0.11154999999999587
random,55,1,0.41699999999996223
random,55,8,0.11604999999999538
random,56,1,0.3935499999999648
random,56,8,0.11824999999999514
random,57,1,0.3135999999999736
random,57,8,0.08929999999999833
random,58,1,0.4726499999999561
random,58,8,0.13619999999999316
random,59,1,0.4220499999999617
random,59,8,0.12319999999999459
random,44,1,0.45844999999995767
random,44,8,0.10839999999999622
random,45,1,0.3220999999999727
random,45,8,0.11849999999999511
random,46,1,0.3721499999999672
random,46,8,0.10869999999999619
random,47,1,0.5325499999999496
random,47,8,0.11114999999999592
random,64,1,0.46579999999995686
random,64,8,0.1367999999999931
random,65,1,0.3389999999999708
random,65,8,0.10914999999999614
random,66,1,0.3508999999999695
random,66,8,0.11164999999999586
random,67,1,0.39214999999996497
random,67,8,0.13189999999999363
random,60,1,0.4500999999999586
random,60,8,0.10739999999999633
random,61,1,0.4246999999999614
random,61,8,0.15004999999999163
random,62,1,0.41129999999996286
random,62,8,0.14199999999999252
random,63,1,0.46219999999995726
random,63,8,0.10959999999999609
random,68,1,0.4473499999999589
random,68,8,0.10174999999999695
random,69,1,0.32164999999997274
random,69,8,0.11834999999999513
random,70,1,0.32769999999997207
random,70,8,0.10699999999999638
random,71,1,0.33229999999997156
random,71,8,0.11204999999999582
random,72,1,0.44229999999995945
random,72,8,0.09459999999999774
random,73,1,0.44774999999995885
random,73,8,0.11704999999999527
random,74,1,0.44939999999995867
random,74,8,0.09194999999999803
random,75,1,0.45779999999995774
random,75,8,0.10919999999999613
random,76,1,0.3955499999999646
random,76,8,0.1095499999999961
random,77,1,0.4048499999999636
random,77,8,0.1249999999999944
random,78,1,0.4238499999999615
random,78,8,0.12539999999999435
random,79,1,0.33159999999997164
