fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_nb,16,3,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,31,2
3tier_nb,16,3,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,63,2
3tier_nb,16,3,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,125,2
3tier_nb,16,3,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,238,3
3tier_nb,16,3,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,428,5
3tier_nb,16,3,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,722,5
3tier_os2,16,3,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,31,2
3tier_os2,16,3,2,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,63,2
3tier_os2,16,3,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,125,2
3tier_os2,16,3,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,238,3
3tier_os2,16,3,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,428,5
3tier_os2,16,3,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,722,5
3tier_os4,16,3,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,31,2
3tier_os4,16,3,2,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,63,2
3tier_os4,16,3,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,125,2
3tier_os4,16,3,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,238,3
3tier_os4,16,3,16,0.006749999999999987,0.005577879605194805,0.21013727039098518,12031250000.0,428,5
3tier_os4,16,3,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,722,5
2tier,16,3,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,31,2
2tier,16,3,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,52,3
2tier,16,3,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,95,4
2tier,16,3,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,140,7
2tier,16,3,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,180,9
2tier,16,3,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,189,15
3tier_nb,64,3,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,121,2
3tier_nb,64,3,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,230,2
3tier_nb,64,3,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,421,3
3tier_nb,64,3,8,0.006049999999999991,0.005769359054328357,0.04864334894551048,11631944444.444447,748,6
3tier_nb,64,3,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1163,6
3tier_nb,64,3,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1580,10
3tier_os2,64,3,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,121,2
3tier_os2,64,3,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,230,2
3tier_os2,64,3,4,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,421,3
3tier_os2,64,3,8,0.008099999999999979,0.005856773585454545,0.38301402330398204,11458333333.333334,748,6
3tier_os2,64,3,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1163,6
3tier_os2,64,3,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1580,10
3tier_os4,64,3,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,121,2
3tier_os4,64,3,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,230,2
3tier_os4,64,3,4,0.01614999999999995,0.01073741824,0.5040859580039931,6250000000.0,421,3
3tier_os4,64,3,8,0.01614999999999995,0.007158278826666665,1.25612893700599,9375000000.000002,748,6
3tier_os4,64,3,16,0.008099999999999979,0.0059105054532110094,0.3704411685466731,11354166666.666666,1163,6
3tier_os4,64,3,32,0.006749999999999987,0.0054751707739376775,0.23283825814723724,12256944444.444443,1580,10
2tier,64,3,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,100,3
2tier,64,3,2,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,150,6
2tier,64,3,4,0.009399999999999971,0.00805306368,0.1672576268513961,8333333333.333333,215,7
2tier,64,3,8,0.006749999999999987,0.006155207908280254,0.09663233160972395,10902777777.777779,240,10
2tier,64,3,16,0.006749999999999987,0.006044768786962963,0.11666802120835928,11101973684.210526,254,20
2tier,64,3,32,0.005899999999999992,0.0055281520330751665,0.06726442483854345,12139475108.225107,256,35
3tier_nb,16,2,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,26,1
3tier_nb,16,2,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,52,1
3tier_nb,16,2,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,100,2
3tier_nb,16,2,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,190,2
3tier_nb,16,2,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,358,4
3tier_nb,16,2,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,623,5
3tier_os2,16,2,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,26,1
3tier_os2,16,2,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,52,1
3tier_os2,16,2,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,100,2
3tier_os2,16,2,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,190,2
3tier_os2,16,2,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,358,4
3tier_os2,16,2,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,623,5
3tier_os4,16,2,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,26,1
3tier_os4,16,2,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,52,1
3tier_os4,16,2,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,100,2
3tier_os4,16,2,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,190,2
3tier_os4,16,2,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,358,4
3tier_os4,16,2,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,623,5
2tier,16,2,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,24,2
2tier,16,2,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,46,3
2tier,16,2,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,80,3
2tier,16,2,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,127,5
2tier,16,2,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,161,7
2tier,16,2,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,170,12
3tier_nb,64,2,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,115,2
3tier_nb,64,2,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,217,2
3tier_nb,64,2,4,0.006749999999999987,0.0067108864,0.0058283805847147985,10000000000.0,389,4
3tier_nb,64,2,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,682,6
3tier_nb,64,2,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1077,9
3tier_nb,64,2,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1509,13
3tier_os2,64,2,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,115,2
3tier_os2,64,2,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,217,2
3tier_os2,64,2,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,389,4
3tier_os2,64,2,8,0.008099999999999979,0.005856773585454545,0.38301402330398204,11458333333.333334,682,6
3tier_os2,64,2,16,0.006049999999999991,0.005444324741408451,0.11124892201688397,12326388888.88889,1077,9
3tier_os2,64,2,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,1509,13
3tier_os4,64,2,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,115,2
3tier_os4,64,2,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,217,2
3tier_os4,64,2,4,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,389,4
3tier_os4,64,2,8,0.01614999999999995,0.008206943877707007,0.967845795055224,8177083333.333333,682,6
3tier_os4,64,2,16,0.012099999999999955,0.006421047452491694,0.8844277494483452,10451388888.88889,1077,9
3tier_os4,64,2,32,0.008749999999999975,0.005650955002890077,0.5484108430389107,11875667735.042732,1509,13
2tier,64,2,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,98,3
2tier,64,2,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,154,4
2tier,64,2,4,0.008099999999999979,0.007320966981818182,0.10641121864318559,9166666666.666666,214,6
2tier,64,2,8,0.008099999999999979,0.006135667565714287,0.320149749517437,10937499999.999998,250,12
2tier,64,2,16,0.006399999999999989,0.00564736184249135,0.13327252237420129,11883223684.210526,255,19
2tier,64,2,32,0.005549999999999994,0.005420035211013384,0.023978587578642463,12381628787.878788,256,33
3tier_nb,16,9,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
3tier_nb,16,9,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,58,2
3tier_nb,16,9,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,116,2
3tier_nb,16,9,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,215,3
3tier_nb,16,9,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,396,5
3tier_nb,16,9,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,641,6
3tier_os2,16,9,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,30,1
3tier_os2,16,9,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,58,2
3tier_os2,16,9,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,116,2
3tier_os2,16,9,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,215,3
3tier_os2,16,9,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,396,5
3tier_os2,16,9,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,641,6
3tier_os4,16,9,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,30,1
3tier_os4,16,9,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,58,2
3tier_os4,16,9,4,0.010749999999999963,0.008589934592,0.25146470963954504,7812500000.0,116,2
3tier_os4,16,9,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,215,3
3tier_os4,16,9,16,0.006749999999999987,0.005651272757894737,0.19442120194434875,11875000000.0,396,5
3tier_os4,16,9,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,641,6
2tier,16,9,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,27,2
2tier,16,9,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,49,3
2tier,16,9,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,93,4
2tier,16,9,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,139,4
2tier,16,9,16,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,179,8
2tier,16,9,32,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,190,15
3tier_nb,64,9,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,117,2
3tier_nb,64,9,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,226,2
3tier_nb,64,9,4,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,427,3
