fabric,P,k,n,speedup_mean,ci_low,ci_high,speedup_min,speedup_max,mean_max_top_contention,mean_top_used,mean_equal_split_gap,mean_opt_speedup
3tier_nb,16,1,100,1.0,1.0,1.0,1.0,1.0,1.14,29.96,0.0048039257526383446,1.0048039257526384
3tier_nb,16,2,100,1.1715123456790115,1.0988888888888884,1.250802469135801,0.6666666666666679,1.9907407407407356,1.56,59.14,0.00829638540744677,1.179970179994899
3tier_nb,16,4,100,1.209327160493826,1.1339594135802462,1.2918580246913565,0.8000000000000008,1.9907407407407356,2.17,115.11,0.0077143087983122215,1.218547113239763
3tier_nb,16,8,100,1.2179629629629618,1.1387037037037029,1.2972222222222205,1.0,1.9907407407407356,2.81,219.31,0.005828380584715909,1.2250617146491982
3tier_nb,16,16,100,1.2179629629629618,1.1387037037037029,1.2972222222222205,1.0,1.9907407407407356,3.75,397.78,0.005828380584715909,1.2250617146491982
3tier_nb,16,32,100,1.2179629629629618,1.1387037037037029,1.2972222222222205,1.0,1.9907407407407356,5.35,664.69,0.005828380584715909,1.2250617146491982
3tier_os2,16,1,100,1.0,1.0,1.0,1.0,1.0,1.14,29.96,0.0011717677116372237,1.0011717677116372
3tier_os2,16,2,100,1.5690534342391929,1.4733001543209878,1.6649484959675873,1.0,2.0000000000000164,1.56,59.14,0.16274071236451196,1.782085746526715
3tier_os2,16,4,100,2.0970061728395053,1.9774691358024672,2.2230864197530873,1.3271604938271593,3.981481481481504,2.17,115.11,0.05211123203237716,2.190563827753064
3tier_os2,16,8,100,2.2694444444444435,2.1495023148148116,2.4087962962962974,1.9907407407407356,3.981481481481504,2.81,219.31,0.005828380584715909,2.2826716303825347
3tier_os2,16,16,100,2.2694444444444435,2.1495023148148116,2.4087962962962974,1.9907407407407356,3.981481481481504,3.75,397.78,0.005828380584715909,2.2826716303825347
