fabric,P,k,n,speedup_mean,ci_low,ci_high,speedup_min,speedup_max,mean_max_top_contention,mean_top_used,mean_equal_split_gap,mean_opt_speedup
3tier_nb,16,1,1000,1.0,1.0,1.0,1.0,1.0,1.159,29.914,0.004529185593126634,1.0045291855931267
3tier_nb,16,2,1000,1.2266296296296284,1.2014876543209867,1.2517101080246902,0.6666666666666679,1.9907407407407356,1.605,59.025,0.007062382996081258,1.234925972918667
3tier_nb,16,4,1000,1.2699080246913566,1.2431670987654306,1.2964555092592578,0.8000000000000008,1.9907407407407356,2.115,114.889,0.007148530334233328,1.2790462933480715
3tier_nb,16,8,1000,1.275988904193448,1.2486759259259248,1.3037296449341889,1.0,1.9907407407407356,2.84,218.088,0.005914010521437497,1.2835780055158643
3tier_nb,16,16,1000,1.2764166666666652,1.2486759259259248,1.3041574074074058,1.0,1.9907407407407356,3.841,394.957,0.005828380584715909,1.2838561087846732
3tier_nb,16,32,1000,1.2764166666666652,1.2486759259259248,1.3041574074074058,1.0,1.9907407407407356,5.475,658.404,0.005828380584715909,1.2838561087846732
3tier_os2,16,1,1000,1.0,1.0,1.0,1.0,1.0,1.159,29.914,0.0011717677116373799,1.0011717677116374
3tier_os2,16,2,1000,1.5425925257042394,1.5115345382792498,1.5727572050701382,0.6656346749226004,2.0000000000000164,1.605,59.025,0.17679980273047785,1.7720740288495993
3tier_os2,16,4,1000,2.1865956790123455,2.141205941358024,2.2308800154320987,1.0,3.981481481481504,2.115,114.889,0.04186202709873393,2.2578592567394153
3tier_os2,16,8,1000,2.304053719008264,2.259033363942454,2.3486759259259262,1.5925925925925901,3.981481481481504,2.84,218.088,0.00668493865264697,2.3191309689233677
3tier_os2,16,16,1000,2.3072685185185184,2.2614814814814808,2.3530555555555557,1.9907407407407356,3.981481481481504,3.841,394.957,0.005828380584715909,2.3207161575555775
3tier_os2,16,32,1000,2.3072685185185184,2.2614814814814808,2.3530555555555557,1.9907407407407356,3.981481481481504,5.475,658.404,0.005828380584715909,2.3207161575555775
3tier_os4,16,1,1000,1.0,1.0,1.0,1.0,1.0,1.159,29.914,0.000986667349941334,1.0009866673499412
3tier_os4,16,2,1000,1.5596395348837313,1.5286642829457462,1.589944961240321,0.6666666666666614,2.0000000000000164,1.605,59.025,0.18188210763037457,1.7962794906149446
3tier_os4,16,4,1000,2.254186255843312,2.205215338650648,2.3026643872849286,1.0,3.995348837209383,2.115,114.889,0.5120763176431209,3.3427513359735674
3tier_os4,16,8,1000,3.387378494909456,3.3090186497574305,3.465059212346622,1.5985130111524304,7.953703703703844,2.84,218.088,0.2988717321099475,4.266060759416919
3tier_os4,16,16,1000,4.4599517318159725,4.370427551870521,4.547152495723953,2.2872340425532096,7.953703703703844,3.841,394.957,0.03967122933161998,4.610197879152321
3tier_os4,16,32,1000,4.610498239975554,4.519992653810874,4.70143158861345,3.5537190082644847,7.953703703703844,5.475,658.404,0.0064413395917241115,4.639548262477787
2tier,16,1,1000,1.0,1.0,1.0,1.0,1.0,1.724,28.967,0.0026184221108728565,1.002618422110873
2tier,16,2,1000,1.4140960175659343,1.3857008778418685,1.4422304092541338,0.5023255813953501,1.993827160493826,2.505,52.286,0.021345301220812615,1.4421311207115608
2tier,16,4,1000,1.6498526661413158,1.6201282476359309,1.6792464985552897,0.6666666666666679,2.9907407407407343,3.818,86.802,0.021273533946700354,1.6826010597426218
2tier,16,8,1000,1.70876927133745,1.6783483466420934,1.7390169936465356,0.8925619834710748,2.9907407407407343,6.022,127,0.008153747240400362,1.7228920125600014
2tier,16,16,1000,1.7168909270363348,1.6860198434573177,1.7475026972676748,1.0,2.9907407407407343,9.864,157.604,0.006059745524627476,1.7273013364192975
2tier,16,32,1000,1.7174158615136843,1.6866841485507216,1.7481572966988692,1.0,2.9907407407407343,16.763,170.375,0.005875854068160921,1.7275143695502109
3tier_nb,64,1,1000,1.0,1.0,1.0,1.0,1.0,2.009,117.111,0.0013006006677912419,1.0013006006677911
3tier_nb,64,2,1000,1.407652084527395,1.3896790256244604,1.4257455792847238,0.6666666666666679,2.0000000000000164,2.465,226.104,0.03175562495986358,1.4514870320757183
3tier_nb,64,4,1000,1.896032230645154,1.8746060853457165,1.917492156841352,0.8000000000000008,3.981481481481504,3.313,422.549,0.03628079569528835,1.9562776895269451
3tier_nb,64,8,1000,2.053553597280865,2.0367010120022573,2.0703725075148887,1.0,3.981481481481504,4.52,743.75,0.01006159626914163,2.0730772856029485
3tier_nb,64,16,1000,2.068670234604772,2.0519861099299934,2.0856737791238884,1.0,3.981481481481504,6.509,1180.779,0.006180460644563993,2.081382341977967
3tier_nb,64,32,1000,2.069740740740736,2.0527592592592545,2.086722453703699,1.0,3.981481481481504,9.806,1617.812,0.005828380584715909,2.0818039774894648
3tier_os2,64,1,1000,1.0,1.0,1.0,1.0,1.0,2.009,117.111,0.001170991609498822,1.0011709916094989
3tier_os2,64,2,1000,1.693637424899128,1.6708802587964566,1.7164285439709188,0.6656346749226004,2.0000000000000164,2.465,226.104,0.12412606055537516,1.869701081886897
3tier_os2,64,4,1000,2.460285098725496,2.431889574987117,2.487521995326912,1.0,3.995348837209383,3.313,422.549,0.3080939635752647,3.1839700097898334
3tier_os2,64,8,1000,3.582770039429959,3.5406627754777156,3.6236552750795226,1.3271604938271593,7.953703703703844,4.52,743.75,0.10156261082759147,3.8986305843384343
3tier_os2,64,16,1000,3.986617114683652,3.9509643477379863,4.020945549789842,1.9907407407407356,7.953703703703844,6.509,1180.779,0.00873751730893089,4.020557544119711
3tier_os2,64,32,1000,4.000379629629653,3.9645460648148374,4.035212962962987,1.9907407407407356,7.953703703703844,9.806,1617.812,0.005828380584715909,4.023695364594481
3tier_os4,64,1,1000,1.0,1.0,1.0,1.0,1.0,2.009,117.111,6.853851180895499e-05,1.0000685385118089
3tier_os4,64,2,1000,1.6929633754771785,1.6701759135600394,1.7157780611807643,0.6666666666666614,1.9999999999999363,2.465,226.104,0.1351271920527121,1.8880172865465592
3tier_os4,64,4,1000,2.4660870406668463,2.437268918071268,2.4935980057289595,1.0,3.995348837209383,3.313,422.549,0.5327529852382006,3.7343087864833353
3tier_os4,64,8,1000,3.6163021868794867,3.5730689761854424,3.6581214067236063,1.3312693498452117,7.990697674418511,4.52,743.75,0.675174843635909,5.97197627721214
3tier_os4,64,16,1000,5.0017051814609585,4.943919080411276,5.059080427388412,2.0000000000000164,10.604938271604805,6.509,1180.779,0.47939583037331507,7.3011765014216605
3tier_os4,64,32,1000,6.6077143453017815,6.53510315177277,6.6781345258114415,2.6543209876543408,15.907407407407181,9.806,1617.812,0.20205619483919232,7.858425049279208
2tier,64,1,1000,1.0,1.0,1.0,1.0,1.0,3.022,99.36,0.0023688276608762504,1.0023688276608762
2tier,64,2,1000,1.3616308119738023,1.3459034881985472,1.3777592666106668,0.6656346749226004,2.0000000000000164,4.512,157.082,0.023352855727782493,1.39273159826795
2tier,64,4,1000,1.7455303639882835,1.7248460527838592,1.7665123904347453,0.888429752066116,3.1851851851852064,7.029,213.22,0.1898416566862695,2.0669978135500555
2tier,64,8,1000,2.1470305044775686,2.1223293073112544,2.172576176928442,1.1436170212765953,3.5537190082644847,11.37,244.715,0.1976207529242962,2.5558517983109614
2tier,64,16,1000,2.533357567019403,2.5035286424989818,2.562561494330523,1.3271604938271593,4.438016528925669,19.218,253.708,0.1252217645158422,2.8347110407306206
2tier,64,32,1000,2.8026373979015267,2.772556108691603,2.832080674275401,1.5579710144927514,4.837837837837889,34.062,255.034,0.06089759633131861,2.9634408154171585
