fabric,P,k,n,prop_vs_equal_mean,ci_low,ci_high,prop_vs_equal_max,mean_gap_equal_pct,mean_gap_prop_pct
3tier_nb,16,2,100,1.006929000462036,1.002185430463576,1.013874942245495,1.255813953488371,0.829638540744677,0.163742899894614
3tier_nb,16,4,100,1.0022845975188353,1.0,1.0062238712966636,1.16546762589928,0.7714308798312222,0.547447800636201
3tier_nb,16,8,100,1.0,1.0,1.0,1.0,0.5828380584715909,0.5828380584715909
3tier_nb,16,16,100,1.0,1.0,1.0,1.0,0.5828380584715909,0.5828380584715909
3tier_os2,16,2,100,1.1679840039449751,1.1241673518232298,1.2140469209001303,1.4930555555555536,16.274071236451196,-0.43307965000488813
3tier_os2,16,4,100,1.0481906191148773,1.0285713571092279,1.070131238229755,1.4930555555555536,5.211123203237715,0.41178514560053
3tier_os2,16,8,100,1.0,1.0,1.0,1.0,0.5828380584715909,0.5828380584715909
3tier_os2,16,16,100,1.0,1.0,1.0,1.0,0.5828380584715909,0.5828380584715909
3tier_os4,16,2,100,1.1696558910393566,1.1247956264125387,1.217812982594007,1.4982578397212676,16.1347609013321,-0.6426272292933725
3tier_os4,16,4,100,1.5456337137641287,1.5004917037364502,1.5900477591789013,2.0443037974683533,52.99301594495724,-0.9872165819011416
3tier_os4,16,8,100,1.2977575168876698,1.260965813929966,1.334860249529354,1.8695652173913002,30.130598942438446,0.29451611141350476
3tier_os4,16,16,100,1.0263997611374764,1.012430019305019,1.041905061531939,1.4336283185840686,3.23885362595309,0.58299327890069
2tier,16,2,100,1.0513684288207812,1.035734342112018,1.0687169764554132,1.4930555555555536,2.559570223092854,-2.3104707400005573
2tier,16,4,100,1.0148860173289111,1.0074736909042987,1.023404821527826,1.265624999999999,1.9029878079890121,0.42420277992874433
2tier,16,8,100,1.0004310344827585,1.0,1.001293103448276,1.0431034482758619,0.6256530268323852,0.5823206570412487
2tier,16,16,100,1.0,1.0,1.0,1.0,0.5828380584715909,0.5828380584715909
3tier_nb,64,2,100,1.0819701524055834,1.0703548222732384,1.0948425345276072,1.255813953488371,2.292746305465437,-5.397184193134524
3tier_nb,64,4,100,1.03267155677976,1.0230448623943593,1.0425317306685085,1.16546762589928,3.348866105079515,0.11003663142510678
3tier_nb,64,8,100,1.0040261739181644,1.0013219996894893,1.007284208384862,1.0707964601769908,0.976451196604212,0.5721019787919939
3tier_nb,64,16,100,1.0,1.0,1.0,1.0,0.5828380584715909,0.5828380584715909
3tier_os2,64,2,100,1.2096052827907964,1.1661948067842545,1.2548805522095465,1.993827160493826,9.483487904071456,-8.862325052420601
3tier_os2,64,4,100,1.2988623922064324,1.2727478635751146,1.3261805658640378,1.6796874999999971,27.99624043206338,-1.5018499145907007
3tier_os2,64,8,100,1.0825447823961807,1.060513628220137,1.1060085578961014,1.3846153846153828,8.875204912490158,0.5829415387576417
3tier_os2,64,16,100,1.0011009174311927,1.0,1.003302752293578,1.1100917431192654,0.6882585999037589,0.578052095240928
3tier_os4,64,2,100,1.2277850050689205,1.1836826328794325,1.2750910317712965,1.9969040247678336,10.878609120846711,-9.080409755309063
3tier_os4,64,4,100,1.7293677664576095,1.6927902466717368,1.7683751692394487,2.3369565217391486,51.29117916027685,-12.579699108998263
3tier_os4,64,8,100,1.686417153872907,1.6422724277864682,1.732404153286457,2.323741007194242,64.02635568131943,-2.79076155275127
3tier_os4,64,16,100,1.4571434543557558,1.4274498284536172,1.4879909147479633,1.905511811023618,45.81653152755052,0.08639692964521728
2tier,64,2,100,1.1683373166610869,1.144590078360636,1.1937758331582886,1.5284090909090893,2.7903830011682036,-11.324121057987504
2tier,64,4,100,1.2522552646295368,1.2320940364481814,1.2727249453649383,1.6353591160220975,18.11658107066789,-5.602746437509558
2tier,64,8,100,1.21006906363351,1.1933548525783109,1.2272509444187973,1.5357142857142836,19.76746735683507,-0.9828184371451242
2tier,64,16,100,1.1124771198912997,1.0990996037118566,1.12614322785652,1.327868852459015,11.658431409216746,0.3805160091341203
