fabric,P,seed,k,t_prop
2tier,16,0,2,0.005399999999999995
2tier,16,0,4,0.005399999999999995
2tier,16,0,8,0.005399999999999995
2tier,16,0,16,0.005399999999999995
2tier,16,1,2,0.007549999999999982
2tier,16,1,4,0.005399999999999995
2tier,16,1,8,0.005399999999999995
2tier,16,1,16,0.005399999999999995
2tier,16,2,2,0.007549999999999982
2tier,16,2,4,0.005399999999999995
2tier,16,2,8,0.005399999999999995
2tier,16,2,16,0.005399999999999995
2tier,16,3,2,0.007549999999999982
2tier,16,3,4,0.005399999999999995
2tier,16,3,8,0.005399999999999995
2tier,16,3,16,0.005399999999999995
2tier,16,4,2,0.007549999999999982
2tier,16,4,4,0.005399999999999995
2tier,16,4,8,0.005399999999999995
2tier,16,4,16,0.005399999999999995
2tier,16,5,2,0.005399999999999995
2tier,16,5,4,0.005399999999999995
2tier,16,5,8,0.005399999999999995
2tier,16,5,16,0.005399999999999995
2tier,16,6,2,0.007549999999999982
2tier,16,6,4,0.005399999999999995
2tier,16,6,8,0.005399999999999995
2tier,16,6,16,0.005399999999999995
2tier,16,7,2,0.007549999999999982
2tier,16,7,4,0.00624999999999999
2tier,16,7,8,0.005399999999999995
2tier,16,7,16,0.005399999999999995
2tier,16,8,2,0.007549999999999982
2tier,16,8,4,0.005399999999999995
2tier,16,8,8,0.005399999999999995
2tier,16,8,16,0.005399999999999995
2tier,16,9,2,0.007549999999999982
2tier,16,9,4,0.005399999999999995
2tier,16,9,8,0.005399999999999995
2tier,16,9,16,0.005399999999999995
2tier,16,10,2,0.007549999999999982
2tier,16,10,4,0.005399999999999995
2tier,16,10,8,0.005399999999999995
2tier,16,10,16,0.005399999999999995
2tier,16,11,2,0.005399999999999995
2tier,16,11,4,0.005399999999999995
2tier,16,11,8,0.005399999999999995
2tier,16,11,16,0.005399999999999995
2tier,16,12,2,0.005399999999999995
2tier,16,12,4,0.005399999999999995
2tier,16,12,8,0.005399999999999995
2tier,16,12,16,0.005399999999999995
2tier,16,13,2,0.007549999999999982
2tier,16,13,4,0.005399999999999995
2tier,16,13,8,0.005399999999999995
2tier,16,13,16,0.005399999999999995
2tier,16,14,2,0.010749999999999963
2tier,16,14,4,0.006349999999999989
2tier,16,14,8,0.005399999999999995
2tier,16,14,16,0.005399999999999995
2tier,16,15,2,0.005399999999999995
2tier,16,15,4,0.0059999999999999915
2tier,16,15,8,0.005399999999999995
2tier,16,15,16,0.005399999999999995
2tier,16,16,2,0.008999999999999973
2tier,16,16,4,0.005399999999999995
2tier,16,16,8,0.005399999999999995
2tier,16,16,16,0.005399999999999995
2tier,16,17,2,0.007549999999999982
2tier,16,17,4,0.005399999999999995
2tier,16,17,8,0.005399999999999995
2tier,16,17,16,0.005399999999999995
2tier,16,18,2,0.005399999999999995
2tier,16,18,4,0.0059999999999999915
2tier,16,18,8,0.005399999999999995
2tier,16,18,16,0.005399999999999995
2tier,16,19,2,0.005399999999999995
2tier,16,19,4,0.006349999999999989
2tier,16,19,8,0.005399999999999995
2tier,16,19,16,0.005399999999999995
2tier,16,20,2,0.005399999999999995
2tier,16,20,4,0.005399999999999995
