fabric,P,seed,k,t_prop
3tier_nb,16,7,2,0.005399999999999995
3tier_nb,16,7,4,0.005399999999999995
3tier_nb,16,7,8,0.005399999999999995
3tier_nb,16,7,16,0.005399999999999995
3tier_nb,16,7,32,0.005399999999999995
3tier_os2,16,7,2,0.010749999999999963
3tier_os2,16,7,4,0.005399999999999995
3tier_os2,16,7,8,0.005399999999999995
3tier_os2,16,7,16,0.005399999999999995
3tier_os2,16,7,32,0.005399999999999995
3tier_os4,16,7,2,0.021500000000000102
3tier_os4,16,7,4,0.007199999999999984
3tier_os4,16,7,8,0.005899999999999992
3tier_os4,16,7,16,0.005399999999999995
3tier_os4,16,7,32,0.005399999999999995
2tier,16,7,2,0.007549999999999982
2tier,16,7,4,0.00624999999999999
2tier,16,7,8,0.005399999999999995
2tier,16,7,16,0.005399999999999995
2tier,16,7,32,0.005399999999999995
3tier_nb,64,7,2,0.007549999999999982
3tier_nb,64,7,4,0.005399999999999995
3tier_nb,64,7,8,0.005399999999999995
3tier_nb,64,7,16,0.005399999999999995
3tier_nb,64,7,32,0.005399999999999995
3tier_os2,64,7,2,0.010749999999999963
3tier_os2,64,7,4,0.006849999999999986
3tier_os2,64,7,8,0.005399999999999995
3tier_os2,64,7,16,0.005399999999999995
3tier_os2,64,7,32,0.005399999999999995
3tier_os4,64,7,2,0.021500000000000102
3tier_os4,64,7,4,0.010749999999999963
3tier_os4,64,7,8,0.006949999999999986
3tier_os4,64,7,16,0.005899999999999992
3tier_os4,64,7,32,0.005449999999999995
2tier,64,7,2,0.009999999999999967
2tier,64,7,4,0.006999999999999985
2tier,64,7,8,0.006599999999999988
2tier,64,7,16,0.0059999999999999915
2tier,64,7,32,0.005449999999999995
3tier_nb,16,2,2,0.005399999999999995
3tier_nb,16,2,4,0.005399999999999995
3tier_nb,16,2,8,0.005399999999999995
3tier_nb,16,2,16,0.005399999999999995
3tier_nb,16,2,32,0.005399999999999995
3tier_os2,16,2,2,0.005399999999999995
3tier_os2,16,2,4,0.005399999999999995
3tier_os2,16,2,8,0.005399999999999995
3tier_os2,16,2,16,0.005399999999999995
3tier_os2,16,2,32,0.005399999999999995
3tier_os4,16,2,2,0.010749999999999963
3tier_os4,16,2,4,0.007199999999999984
3tier_os4,16,2,8,0.005399999999999995
3tier_os4,16,2,16,0.005399999999999995
3tier_os4,16,2,32,0.005399999999999995
2tier,16,2,2,0.007549999999999982
2tier,16,2,4,0.005399999999999995
2tier,16,2,8,0.005399999999999995
2tier,16,2,16,0.005399999999999995
2tier,16,2,32,0.005399999999999995
3tier_nb,64,2,2,0.007549999999999982
3tier_nb,64,2,4,0.006549999999999988
3tier_nb,64,2,8,0.005399999999999995
3tier_nb,64,2,16,0.005399999999999995
3tier_nb,64,2,32,0.005399999999999995
3tier_os2,64,2,2,0.010749999999999963
3tier_os2,64,2,4,0.007049999999999985
3tier_os2,64,2,8,0.005849999999999992
3tier_os2,64,2,16,0.005449999999999995
3tier_os2,64,2,32,0.005399999999999995
3tier_os4,64,2,2,0.021500000000000102
3tier_os4,64,2,4,0.010899999999999962
3tier_os4,64,2,8,0.0077999999999999806
3tier_os4,64,2,16,0.006349999999999989
3tier_os4,64,2,32,0.005699999999999993
2tier,64,2,2,0.008999999999999973
2tier,64,2,4,0.007099999999999985
2tier,64,2,8,0.0061499999999999905
2tier,64,2,16,0.005649999999999994
2tier,64,2,32,0.005449999999999995
3tier_nb,16,0,2,0.005399999999999995
3tier_nb,16,0,4,0.005399999999999995
3tier_nb,16,0,8,0.005399999999999995
3tier_nb,16,0,16,0.005399999999999995
3tier_nb,16,0,32,0.005399999999999995
3tier_os2,16,0,2,0.007199999999999984
3tier_os2,16,0,4,0.005399999999999995
3tier_os2,16,0,8,0.005399999999999995
3tier_os2,16,0,16,0.005399999999999995
3tier_os2,16,0,32,0.005399999999999995
3tier_os4,16,0,2,0.014349999999999941
3tier_os4,16,0,4,0.008099999999999979
3tier_os4,16,0,8,0.005399999999999995
3tier_os4,16,0,16,0.005399999999999995
3tier_os4,16,0,32,0.005399999999999995
2tier,16,0,2,0.005399999999999995
2tier,16,0,4,0.005399999999999995
2tier,16,0,8,0.005399999999999995
2tier,16,0,16,0.005399999999999995
2tier,16,0,32,0.005399999999999995
3tier_nb,64,0,2,0.007549999999999982
3tier_nb,64,0,4,0.006349999999999989
3tier_nb,64,0,8,0.005399999999999995
3tier_nb,64,0,16,0.005399999999999995
3tier_nb,64,0,32,0.005399999999999995
3tier_os2,64,0,2,0.008999999999999973
3tier_os2,64,0,4,0.008199999999999978
3tier_os2,64,0,8,0.005399999999999995
3tier_os2,64,0,16,0.005399999999999995
3tier_os2,64,0,32,0.005399999999999995
3tier_os4,64,0,2,0.01795
3tier_os4,64,0,4,0.011699999999999957
3tier_os4,64,0,8,0.007399999999999983
3tier_os4,64,0,16,0.005899999999999992
3tier_os4,64,0,32,0.005549999999999994
2tier,64,0,2,0.00944999999999997
2tier,64,0,4,0.0076499999999999815
2tier,64,0,8,0.006349999999999989
2tier,64,0,16,0.005549999999999994
2tier,64,0,32,0.005399999999999995
3tier_nb,16,1,2,0.005399999999999995
3tier_nb,16,1,4,0.005399999999999995
3tier_nb,16,1,8,0.005399999999999995
3tier_nb,16,1,16,0.005399999999999995
3tier_nb,16,1,32,0.005399999999999995
3tier_os2,16,1,2,0.007199999999999984
3tier_os2,16,1,4,0.005399999999999995
3tier_os2,16,1,8,0.005399999999999995
3tier_os2,16,1,16,0.005399999999999995
3tier_os2,16,1,32,0.005399999999999995
3tier_os4,16,1,2,0.014349999999999941
3tier_os4,16,1,4,0.007199999999999984
3tier_os4,16,1,8,0.005849999999999992
3tier_os4,16,1,16,0.005399999999999995
3tier_os4,16,1,32,0.005399999999999995
2tier,16,1,2,0.007549999999999982
2tier,16,1,4,0.005399999999999995
2tier,16,1,8,0.005399999999999995
2tier,16,1,16,0.005399999999999995
2tier,16,1,32,0.005399999999999995
3tier_nb,64,1,2,0.007549999999999982
3tier_nb,64,1,4,0.005399999999999995
3tier_nb,64,1,8,0.005399999999999995
3tier_nb,64,1,16,0.005399999999999995
3tier_nb,64,1,32,0.005399999999999995
3tier_os2,64,1,2,0.010749999999999963
3tier_os2,64,1,4,0.005899999999999992
3tier_os2,64,1,8,0.005399999999999995
3tier_os2,64,1,16,0.005399999999999995
3tier_os2,64,1,32,0.005399999999999995
3tier_os4,64,1,2,0.021500000000000102
3tier_os4,64,1,4,0.008749999999999975
3tier_os4,64,1,8,0.006899999999999986
3tier_os4,64,1,16,0.005849999999999992
3tier_os4,64,1,32,0.005549999999999994
2tier,64,1,2,0.00944999999999997
2tier,64,1,4,0.007399999999999983
2tier,64,1,8,0.0059999999999999915
2tier,64,1,16,0.005849999999999992
2tier,64,1,32,0.005449999999999995
3tier_nb,16,6,2,0.005399999999999995
3tier_nb,16,6,4,0.005399999999999995
3tier_nb,16,6,8,0.005399999999999995
3tier_nb,16,6,16,0.005399999999999995
3tier_nb,16,6,32,0.005399999999999995
3tier_os2,16,6,2,0.005399999999999995
3tier_os2,16,6,4,0.005399999999999995
3tier_os2,16,6,8,0.005399999999999995
3tier_os2,16,6,16,0.005399999999999995
3tier_os2,16,6,32,0.005399999999999995
3tier_os4,16,6,2,0.010749999999999963
3tier_os4,16,6,4,0.007199999999999984
