run,seed,flows_per_neighbor,ring_size,affected_fraction,completion_time_s
1,270129748,1,4,0.0,0.021500000000000102
1,270129748,1,4,0.1,0.021500000000000102
1,270129748,1,4,0.3,0.021500000000000102
1,270129748,1,4,0.5,0.021500000000000102
1,270129748,1,8,0.0,0.021500000000000102
1,270129748,1,8,0.1,0.021500000000000102
1,270129748,1,8,0.3,0.021500000000000102
1,270129748,1,8,0.5,0.021500000000000102
1,270129748,1,16,0.0,0.021500000000000102
1,270129748,1,16,0.1,0.058600000000001165
1,270129748,1,16,0.3,0.06430000000000108
1,270129748,1,16,0.5,0.03580000000000051
1,270129748,1,32,0.0,0.021500000000000102
1,270129748,1,32,0.1,0.058600000000001165
1,270129748,1,32,0.3,0.045700000000000796
1,270129748,1,32,0.5,0.04695000000000083
1,270129748,2,4,0.0,0.021500000000000102
1,270129748,2,4,0.1,0.021500000000000102
1,270129748,2,4,0.3,0.021500000000000102
1,270129748,2,4,0.5,0.021500000000000102
1,270129748,2,8,0.0,0.021500000000000102
1,270129748,2,8,0.1,0.021500000000000102
1,270129748,2,8,0.3,0.021500000000000102
1,270129748,2,8,0.5,0.021500000000000102
1,270129748,2,16,0.0,0.021500000000000102
1,270129748,2,16,0.1,0.035950000000000516
1,270129748,2,16,0.3,0.03855000000000059
1,270129748,2,16,0.5,0.030300000000000354
1,270129748,2,32,0.0,0.021500000000000102
1,270129748,2,32,0.1,0.035950000000000516
1,270129748,2,32,0.3,0.032800000000000426
1,270129748,2,32,0.5,0.04280000000000071
1,270129748,4,4,0.0,0.021500000000000102
1,270129748,4,4,0.1,0.021500000000000102
1,270129748,4,4,0.3,0.021500000000000102
1,270129748,4,4,0.5,0.021500000000000102
1,270129748,4,8,0.0,0.021500000000000102
1,270129748,4,8,0.1,0.021500000000000102
1,270129748,4,8,0.3,0.021500000000000102
1,270129748,4,8,0.5,0.021500000000000102
1,270129748,4,16,0.0,0.021500000000000102
1,270129748,4,16,0.1,0.023950000000000173
1,270129748,4,16,0.3,0.03855000000000059
1,270129748,4,16,0.5,0.026750000000000253
1,270129748,4,32,0.0,0.021500000000000102
1,270129748,4,32,0.1,0.023950000000000173
1,270129748,4,32,0.3,0.03440000000000047
1,270129748,4,32,0.5,0.027200000000000266
1,270129748,8,4,0.0,0.021500000000000102
1,270129748,8,4,0.1,0.021500000000000102
1,270129748,8,4,0.3,0.021500000000000102
1,270129748,8,4,0.5,0.021500000000000102
1,270129748,8,8,0.0,0.021500000000000102
1,270129748,8,8,0.1,0.021500000000000102
1,270129748,8,8,0.3,0.021500000000000102
1,270129748,8,8,0.5,0.021500000000000102
1,270129748,8,16,0.0,0.021500000000000102
1,270129748,8,16,0.1,0.02355000000000016
1,270129748,8,16,0.3,0.027100000000000263
1,270129748,8,16,0.5,0.026200000000000237
1,270129748,8,32,0.0,0.021500000000000102
1,270129748,8,32,0.1,0.02355000000000016
1,270129748,8,32,0.3,0.02665000000000025
1,270129748,8,32,0.5,0.026550000000000247
2,1509368760,1,4,0.0,0.021500000000000102
2,1509368760,1,4,0.1,0.021500000000000102
2,1509368760,1,4,0.3,0.021500000000000102
2,1509368760,1,4,0.5,0.021500000000000102
2,1509368760,1,8,0.0,0.021500000000000102
2,1509368760,1,8,0.1,0.021500000000000102
2,1509368760,1,8,0.3,0.021500000000000102
2,1509368760,1,8,0.5,0.021500000000000102
2,1509368760,1,16,0.0,0.021500000000000102
2,1509368760,1,16,0.1,0.021500000000000102
2,1509368760,1,16,0.3,0.03930000000000061
2,1509368760,1,16,0.5,0.021500000000000102
2,1509368760,1,32,0.0,0.021500000000000102
2,1509368760,1,32,0.1,0.04470000000000077
2,1509368760,1,32,0.3,0.04155000000000068
2,1509368760,1,32,0.5,0.07190000000000024
2,1509368760,2,4,0.0,0.021500000000000102
2,1509368760,2,4,0.1,0.021500000000000102
2,1509368760,2,4,0.3,0.021500000000000102
2,1509368760,2,4,0.5,0.021500000000000102
