run,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
1,8,0.0,baseline,0.021500000000000102,1.0,1
1,8,0.0,static(k=4),0.021500000000000102,4.0,4
1,8,0.0,adaptive,0.021500000000000102,1.0,1
1,8,0.1,baseline,0.021500000000000102,1.0,1
1,8,0.1,static(k=4),0.021500000000000102,4.0,4
1,8,0.1,adaptive,0.021500000000000102,1.0,1
1,8,0.3,baseline,0.021500000000000102,1.0,1
1,8,0.3,static(k=4),0.021500000000000102,4.0,4
1,8,0.3,adaptive,0.021500000000000102,1.0,1
1,8,0.5,baseline,0.021500000000000102,1.0,1
1,8,0.5,static(k=4),0.021500000000000102,4.0,4
1,8,0.5,adaptive,0.021500000000000102,1.0,1
1,16,0.0,baseline,0.021500000000000102,1.0,1
1,16,0.0,static(k=4),0.021500000000000102,4.0,4
1,16,0.0,adaptive,0.021500000000000102,1.0,1
1,16,0.1,baseline,0.047800000000000856,1.0,1
1,16,0.1,static(k=4),0.026850000000000256,4.0,4
1,16,0.1,adaptive,0.03120000000000038,1.125,3
1,16,0.3,baseline,0.021500000000000102,1.0,1
1,16,0.3,static(k=4),0.02425000000000018,4.0,4
1,16,0.3,adaptive,0.021500000000000102,1.0,1
1,16,0.5,baseline,0.06075000000000123,1.0,1
1,16,0.5,static(k=4),0.04065000000000065,4.0,4
1,16,0.5,adaptive,0.048450000000000874,1.375,4
2,8,0.0,baseline,0.021500000000000102,1.0,1
2,8,0.0,static(k=4),0.021500000000000102,4.0,4
2,8,0.0,adaptive,0.021500000000000102,1.0,1
2,8,0.1,baseline,0.021500000000000102,1.0,1
2,8,0.1,static(k=4),0.021500000000000102,4.0,4
2,8,0.1,adaptive,0.021500000000000102,1.0,1
2,8,0.3,baseline,0.021500000000000102,1.0,1
2,8,0.3,static(k=4),0.021500000000000102,4.0,4
2,8,0.3,adaptive,0.021500000000000102,1.0,1
2,8,0.5,baseline,0.021500000000000102,1.0,1
2,8,0.5,static(k=4),0.021500000000000102,4.0,4
2,8,0.5,adaptive,0.021500000000000102,1.0,1
2,16,0.0,baseline,0.021500000000000102,1.0,1
2,16,0.0,static(k=4),0.021500000000000102,4.0,4
2,16,0.0,adaptive,0.021500000000000102,1.0,1
2,16,0.1,baseline,0.021500000000000102,1.0,1
2,16,0.1,static(k=4),0.035600000000000506,4.0,4
2,16,0.1,adaptive,0.021500000000000102,1.0,1
2,16,0.3,baseline,0.023000000000000145,1.0,1
2,16,0.3,static(k=4),0.025150000000000207,4.0,4
2,16,0.3,adaptive,0.02350000000000016,1.0625,2
2,16,0.5,baseline,0.03825000000000058,1.0,1
2,16,0.5,static(k=4),0.038700000000000595,4.0,4
2,16,0.5,adaptive,0.030050000000000347,1.125,3
3,8,0.0,baseline,0.021500000000000102,1.0,1
3,8,0.0,static(k=4),0.021500000000000102,4.0,4
3,8,0.0,adaptive,0.021500000000000102,1.0,1
3,8,0.1,baseline,0.021500000000000102,1.0,1
3,8,0.1,static(k=4),0.021500000000000102,4.0,4
3,8,0.1,adaptive,0.021500000000000102,1.0,1
3,8,0.3,baseline,0.021500000000000102,1.0,1
3,8,0.3,static(k=4),0.021500000000000102,4.0,4
3,8,0.3,adaptive,0.021500000000000102,1.0,1
3,8,0.5,baseline,0.021500000000000102,1.0,1
3,8,0.5,static(k=4),0.021500000000000102,4.0,4
3,8,0.5,adaptive,0.021500000000000102,1.0,1
3,16,0.0,baseline,0.021500000000000102,1.0,1
3,16,0.0,static(k=4),0.021500000000000102,4.0,4
3,16,0.0,adaptive,0.021500000000000102,1.0,1
3,16,0.1,baseline,0.021500000000000102,1.0,1
3,16,0.1,static(k=4),0.021500000000000102,4.0,4
3,16,0.1,adaptive,0.021500000000000102,1.0,1
3,16,0.3,baseline,0.02945000000000033,1.0,1
3,16,0.3,static(k=4),0.024650000000000193,4.0,4
3,16,0.3,adaptive,0.030950000000000373,1.1875,4
3,16,0.5,baseline,0.07624999999999976,1.0,1
3,16,0.5,static(k=4),0.035550000000000505,4.0,4
3,16,0.5,adaptive,0.03615000000000052,1.3125,4
