ring_size,k,affected_fraction,T_mean,T_std,T_min,T_max,speedup,speedup_std,speedup_low,speedup_high,total_qps,n_seeds,experiment,method,total_qps_std,k_mean,k_mean_std,k_max,msg_bytes,p99_step
4,1.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,4.0,3,static,,,,,,,
4,1.0,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,4.0,3,static,,,,,,,
4,1.0,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,4.0,3,static,,,,,,,
4,1.0,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,4.0,3,static,,,,,,,
4,2.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,static,,,,,,,
4,2.0,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,static,,,,,,,
4,2.0,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,static,,,,,,,
4,2.0,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,static,,,,,,,
4,4.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
4,4.0,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
4,4.0,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
4,4.0,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
4,8.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
4,8.0,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
4,8.0,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
4,8.0,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
8,1.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,static,,,,,,,
8,1.0,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,static,,,,,,,
8,1.0,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,static,,,,,,,
8,1.0,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,static,,,,,,,
8,2.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
8,2.0,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
8,2.0,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
8,2.0,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
8,4.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
8,4.0,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
8,4.0,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
8,4.0,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
8,8.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,64.0,3,static,,,,,,,
8,8.0,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,64.0,3,static,,,,,,,
8,8.0,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,64.0,3,static,,,,,,,
8,8.0,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,64.0,3,static,,,,,,,
16,1.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
16,1.0,0.1,0.0338666666666671,0.021419694986935696,0.0215000000000001,0.0586000000000011,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
16,1.0,0.3,0.054983333333334265,0.01366202156832366,0.0393000000000006,0.064300000000001,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
16,1.0,0.5,0.04406666666666683,0.027643142609575413,0.0215000000000001,0.0748999999999999,1.0,0.0,1.0,1.0,16.0,3,static,,,,,,,
16,2.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
16,2.0,0.1,0.0277833333333336,0.007406809929607781,0.0215000000000001,0.0359500000000005,1.1533858515777866,0.421444864450583,0.8301158301158275,1.6300417246175323,32.0,3,static,,,,,,,
16,2.0,0.3,0.03726666666666717,0.005880972141860193,0.0308500000000003,0.0424000000000007,1.4629345475168538,0.19751551628120048,1.2739059967585158,1.66796368352789,32.0,3,static,,,,,,,
16,2.0,0.5,0.03495000000000043,0.007838526647272663,0.0303000000000003,0.0440000000000007,1.1958517332911593,0.49940849825048056,0.7037643207855937,1.7022727272726978,32.0,3,static,,,,,,,
16,4.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,64.0,3,static,,,,,,,
16,4.0,0.1,0.023633333333333468,0.0019939491802284026,0.0215000000000001,0.0254500000000002,1.4305192683403785,0.883508575998734,0.8447937131630621,2.4467640918580735,64.0,3,static,,,,,,,
16,4.0,0.3,0.03620000000000047,0.007650653566853215,0.0276500000000002,0.0424000000000007,1.512078600435809,0.13560569928564523,1.4213381555153821,1.66796368352789,64.0,3,static,,,,,,,
16,4.0,0.5,0.03165000000000034,0.010771142000735433,0.0242000000000001,0.0440000000000007,1.309673412116056,0.40767691980789134,0.8884297520661161,1.7022727272726978,64.0,3,static,,,,,,,
16,8.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,128.0,3,static,,,,,,,
16,8.0,0.1,0.02430000000000013,0.002996247653315782,0.0217500000000001,0.0276000000000002,1.4186046573316429,0.9323074756289154,0.7789855072463747,2.488322717622117,128.0,3,static,,,,,,,
16,8.0,0.3,0.029533333333333602,0.007214626347451152,0.0238500000000001,0.0376500000000005,1.8833248469296098,0.42390482498297205,1.6294820717131575,2.3726937269372885,128.0,3,static,,,,,,,
16,8.0,0.5,0.026816666666666867,0.0009004628439493413,0.0262000000000002,0.0278500000000002,1.6234045645097843,0.9635625575177522,0.8143939393939369,2.68940754039495,128.0,3,static,,,,,,,
32,1.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
32,1.0,0.1,0.04783333333333414,0.009591836807063518,0.0402000000000006,0.0586000000000011,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
32,1.0,0.3,0.04598333333333406,0.004581575420456888,0.0415500000000006,0.0507000000000009,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
32,1.0,0.5,0.0635000000000004,0.014333265503715128,0.0469500000000008,0.0719000000000002,1.0,0.0,1.0,1.0,32.0,3,static,,,,,,,
32,2.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,64.0,3,static,,,,,,,
32,2.0,0.1,0.0321333333333337,0.0034915373882194226,0.0291000000000003,0.0359500000000005,1.479107448053594,0.13258421538772228,1.3814432989690786,1.6300417246175323,64.0,3,static,,,,,,,
32,2.0,0.3,0.04168333333333396,0.008950744847963089,0.0328000000000004,0.0507000000000009,1.1310975609756113,0.22706763635811766,1.0,1.3932926829268337,64.0,3,static,,,,,,,
32,2.0,0.5,0.062116666666667035,0.016729191054361346,0.0428000000000007,0.0719000000000002,1.0323208722741437,0.05598139292376098,1.0,1.0969626168224307,64.0,3,static,,,,,,,
32,4.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,128.0,3,static,,,,,,,
32,4.0,0.1,0.026300000000000167,0.004376928146543077,0.0236000000000001,0.0313500000000003,1.8586637476469126,0.5278781678462133,1.4258373205741712,2.4467640918580735,128.0,3,static,,,,,,,
32,4.0,0.3,0.032650000000000366,0.001802082129094061,0.0308000000000003,0.0344000000000004,1.4144315194244255,0.20284886365954105,1.268702290076339,1.6461038961039092,128.0,3,static,,,,,,,
32,4.0,0.5,0.03698333333333383,0.008996434478910968,0.0272000000000002,0.0449000000000007,1.7241930553497016,0.12748046878997968,1.5957683741647901,1.8507078507078274,128.0,3,static,,,,,,,
32,8.0,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,256.0,3,static,,,,,,,
32,8.0,0.1,0.0235000000000001,0.0008760707733967628,0.0226000000000001,0.0243500000000001,2.034270910780378,0.3942507040177014,1.7787610619469216,2.488322717622117,256.0,3,static,,,,,,,
32,8.0,0.3,0.027700000000000235,0.0012971121771073407,0.0266500000000002,0.0291500000000003,1.6657835185216812,0.22001607237629045,1.425385934819903,1.8571428571428765,256.0,3,static,,,,,,,
32,8.0,0.5,0.03160000000000033,0.0044331140296636875,0.0265500000000002,0.0348500000000004,1.99233676055066,0.19990833555019455,1.7683615819209206,2.1526946107784233,256.0,3,static,,,,,,,
8,,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,adaptive,adaptive,0.0,1.0,0.0,1.0,,
8,,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,adaptive,adaptive,0.0,1.0,0.0,1.0,,
8,,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,adaptive,adaptive,0.0,1.0,0.0,1.0,,
8,,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,adaptive,adaptive,0.0,1.0,0.0,1.0,,
8,,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,adaptive,baseline,0.0,1.0,0.0,1.0,,
8,,0.1,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,adaptive,baseline,0.0,1.0,0.0,1.0,,
8,,0.3,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,adaptive,baseline,0.0,1.0,0.0,1.0,,
8,,0.5,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,8.0,3,adaptive,baseline,0.0,1.0,0.0,1.0,,
8,,0.0,0.0215000000000001,0.0,0.0215000000000001,0.0215000000000001,1.0,0.0,1.0,1.0,32.0,3,adaptive,static(k=4),0.0,4.0,0.0,4.0,,
