run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
3,20051968,16,0.0,adaptive,0.021500000000000102,1.0,1
3,20051968,16,0.1,adaptive,0.021500000000000102,1.0,1
3,20051968,16,0.3,adaptive,0.027850000000000284,1.125,3
3,20051968,16,0.5,adaptive,0.03115000000000038,1.1875,4
3,20051968,32,0.0,adaptive,0.021500000000000102,1.0,1
3,20051968,32,0.1,adaptive,0.037250000000000554,1.15625,4
3,20051968,32,0.3,adaptive,0.03340000000000044,1.1875,4
3,20051968,32,0.5,adaptive,0.03270000000000042,1.15625,4
4,30051969,16,0.0,adaptive,0.021500000000000102,1.0,1
4,30051969,16,0.1,adaptive,0.030750000000000367,1.1875,4
4,30051969,16,0.3,adaptive,0.025800000000000226,1.0625,2
4,30051969,16,0.5,adaptive,0.031350000000000385,1.375,4
4,30051969,32,0.0,adaptive,0.021500000000000102,1.0,1
4,30051969,32,0.1,adaptive,0.030750000000000367,1.09375,4
4,30051969,32,0.3,adaptive,0.025850000000000227,1.0625,3
4,30051969,32,0.5,adaptive,0.03370000000000045,1.25,4
2,10051967,16,0.0,adaptive,0.021500000000000102,1.0,1
2,10051967,16,0.1,adaptive,0.021500000000000102,1.0,1
2,10051967,16,0.3,adaptive,0.02425000000000018,1.0,1
2,10051967,16,0.5,adaptive,0.039000000000000604,1.375,4
2,10051967,32,0.0,adaptive,0.021500000000000102,1.0,1
2,10051967,32,0.1,adaptive,0.021500000000000102,1.0,1
2,10051967,32,0.3,adaptive,0.03435000000000047,1.15625,4
2,10051967,32,0.5,adaptive,0.036600000000000535,1.1875,4
1,51966,16,0.0,adaptive,0.021500000000000102,1.0,1
1,51966,16,0.1,adaptive,0.026550000000000247,1.0625,2
1,51966,16,0.3,adaptive,0.03610000000000052,1.375,4
1,51966,16,0.5,adaptive,0.039750000000000625,1.1875,4
1,51966,32,0.0,adaptive,0.021500000000000102,1.0,1
1,51966,32,0.1,adaptive,0.03355000000000045,1.15625,4
1,51966,32,0.3,adaptive,0.043250000000000725,1.34375,4
1,51966,32,0.5,adaptive,0.039750000000000625,1.25,4
7,60051972,16,0.0,adaptive,0.021500000000000102,1.0,1
7,60051972,16,0.1,adaptive,0.021500000000000102,1.0,1
7,60051972,16,0.3,adaptive,0.0319000000000004,1.3125,4
7,60051972,16,0.5,adaptive,0.021500000000000102,1.0,1
7,60051972,32,0.0,adaptive,0.021500000000000102,1.0,1
7,60051972,32,0.1,adaptive,0.037700000000000566,1.125,4
7,60051972,32,0.3,adaptive,0.0319000000000004,1.09375,4
7,60051972,32,0.5,adaptive,0.03085000000000037,1.09375,4
5,40051970,16,0.0,adaptive,0.021500000000000102,1.0,1
5,40051970,16,0.1,adaptive,0.021500000000000102,1.0,1
5,40051970,16,0.3,adaptive,0.03285000000000043,1.1875,4
5,40051970,16,0.5,adaptive,0.023950000000000173,1.0625,2
5,40051970,32,0.0,adaptive,0.021500000000000102,1.0,1
5,40051970,32,0.1,adaptive,0.03395000000000046,1.0625,3
5,40051970,32,0.3,adaptive,0.04130000000000067,1.09375,4
5,40051970,32,0.5,adaptive,0.03390000000000046,1.15625,4
6,50051971,16,0.0,adaptive,0.021500000000000102,1.0,1
6,50051971,16,0.1,adaptive,0.021500000000000102,1.0,1
6,50051971,16,0.3,adaptive,0.021500000000000102,1.0,1
6,50051971,16,0.5,adaptive,0.033150000000000436,1.125,3
6,50051971,32,0.0,adaptive,0.021500000000000102,1.0,1
6,50051971,32,0.1,adaptive,0.021500000000000102,1.0,1
6,50051971,32,0.3,adaptive,0.03465000000000048,1.15625,4
6,50051971,32,0.5,adaptive,0.05050000000000093,1.25,4
8,70051973,16,0.0,adaptive,0.021500000000000102,1.0,1
8,70051973,16,0.1,adaptive,0.021500000000000102,1.0,1
8,70051973,16,0.3,adaptive,0.021500000000000102,1.0,1
8,70051973,16,0.5,adaptive,0.03775000000000057,1.1875,4
8,70051973,32,0.0,adaptive,0.021500000000000102,1.0,1
8,70051973,32,0.1,adaptive,0.021500000000000102,1.0,1
8,70051973,32,0.3,adaptive,0.03430000000000047,1.15625,4
8,70051973,32,0.5,adaptive,0.04470000000000077,1.25,4
9,80051974,16,0.0,adaptive,0.021500000000000102,1.0,1
9,80051974,16,0.1,adaptive,0.021500000000000102,1.0,1
9,80051974,16,0.3,adaptive,0.030050000000000347,1.25,3
9,80051974,16,0.5,adaptive,0.03600000000000052,1.1875,4
9,80051974,32,0.0,adaptive,0.021500000000000102,1.0,1
9,80051974,32,0.1,adaptive,0.03685000000000054,1.1875,4
9,80051974,32,0.3,adaptive,0.032750000000000425,1.15625,4
9,80051974,32,0.5,adaptive,0.03600000000000052,1.28125,4
10,90051975,16,0.0,adaptive,0.021500000000000102,1.0,1
10,90051975,16,0.1,adaptive,0.021500000000000102,1.0,1
10,90051975,16,0.3,adaptive,0.03375000000000045,1.1875,4
10,90051975,16,0.5,adaptive,0.049850000000000914,1.1875,4
10,90051975,32,0.0,adaptive,0.021500000000000102,1.0,1
10,90051975,32,0.1,adaptive,0.02590000000000023,1.03125,2
10,90051975,32,0.3,adaptive,0.03270000000000042,1.0625,3
10,90051975,32,0.5,adaptive,0.05395000000000103,1.09375,4
11,100051976,16,0.0,adaptive,0.021500000000000102,1.0,1
