run,seed,flows_per_neighbor,ring_size,affected_fraction,completion_time_s
1,48879,1,4,0.0,0.021500000000000102
1,48879,1,4,0.1,0.021500000000000102
1,48879,1,4,0.3,0.021500000000000102
1,48879,1,4,0.5,0.021500000000000102
1,48879,1,8,0.0,0.021500000000000102
1,48879,1,8,0.1,0.021500000000000102
1,48879,1,8,0.3,0.021500000000000102
1,48879,1,8,0.5,0.021500000000000102
1,48879,2,8,0.0,0.021500000000000102
1,48879,2,8,0.1,0.021500000000000102
1,48879,2,8,0.3,0.021500000000000102
1,48879,2,8,0.5,0.021500000000000102
1,48879,2,16,0.0,0.021500000000000102
1,48879,2,16,0.1,0.021500000000000102
1,48879,2,16,0.3,0.037700000000000566
1,48879,2,16,0.5,0.038300000000000584
1,48879,1,16,0.0,0.021500000000000102
1,48879,1,16,0.1,0.021500000000000102
1,48879,1,16,0.3,0.021500000000000102
1,48879,1,16,0.5,0.05110000000000095
1,48879,1,32,0.0,0.021500000000000102
1,48879,1,32,0.1,0.021500000000000102
1,48879,1,32,0.3,0.05595000000000109
1,48879,1,32,0.5,0.04470000000000077
1,48879,1,64,0.0,0.021500000000000102
1,48879,1,64,0.1,0.048100000000000864
1,48879,1,64,0.3,0.07215000000000021
1,48879,1,64,0.5,0.044950000000000774
1,48879,2,4,0.0,0.021500000000000102
1,48879,2,4,0.1,0.021500000000000102
1,48879,2,4,0.3,0.021500000000000102
1,48879,2,4,0.5,0.021500000000000102
1,48879,4,4,0.0,0.021500000000000102
1,48879,4,4,0.1,0.021500000000000102
1,48879,4,4,0.3,0.021500000000000102
1,48879,4,4,0.5,0.021500000000000102
1,48879,4,8,0.0,0.021500000000000102
1,48879,4,8,0.1,0.021500000000000102
1,48879,4,8,0.3,0.021500000000000102
1,48879,4,8,0.5,0.021500000000000102
1,48879,2,32,0.0,0.021500000000000102
1,48879,2,32,0.1,0.021500000000000102
1,48879,2,32,0.3,0.043600000000000735
1,48879,2,32,0.5,0.07055000000000039
1,48879,2,64,0.0,0.021500000000000102
1,48879,2,64,0.1,0.033800000000000455
1,48879,2,64,0.3,0.043600000000000735
1,48879,2,64,0.5,0.03965000000000062
1,48879,4,16,0.0,0.021500000000000102
1,48879,4,16,0.1,0.023700000000000165
1,48879,4,16,0.3,0.026200000000000237
1,48879,4,16,0.5,0.03155000000000039
1,48879,4,32,0.0,0.021500000000000102
1,48879,4,32,0.1,0.023700000000000165
1,48879,4,32,0.3,0.03410000000000046
1,48879,4,32,0.5,0.0318000000000004
1,48879,8,8,0.0,0.021500000000000102
1,48879,8,8,0.1,0.021500000000000102
1,48879,8,8,0.3,0.021500000000000102
1,48879,8,8,0.5,0.021500000000000102
1,48879,8,16,0.0,0.021500000000000102
1,48879,8,16,0.1,0.021900000000000114
1,48879,8,16,0.3,0.0284000000000003
1,48879,8,16,0.5,0.026150000000000236
1,48879,4,64,0.0,0.021500000000000102
1,48879,4,64,0.1,0.03160000000000039
1,48879,4,64,0.3,0.026750000000000253
1,48879,4,64,0.5,0.04695000000000083
1,48879,8,4,0.0,0.021500000000000102
1,48879,8,4,0.1,0.021500000000000102
1,48879,8,4,0.3,0.021500000000000102
1,48879,8,4,0.5,0.021500000000000102
2,10048880,1,4,0.0,0.021500000000000102
2,10048880,1,4,0.1,0.021500000000000102
2,10048880,1,4,0.3,0.021500000000000102
2,10048880,1,4,0.5,0.021500000000000102
2,10048880,1,8,0.0,0.021500000000000102
2,10048880,1,8,0.1,0.021500000000000102
2,10048880,1,8,0.3,0.021500000000000102
2,10048880,1,8,0.5,0.021500000000000102
2,10048880,2,8,0.0,0.021500000000000102
2,10048880,2,8,0.1,0.021500000000000102
2,10048880,2,8,0.3,0.021500000000000102
2,10048880,2,8,0.5,0.021500000000000102
2,10048880,2,16,0.0,0.021500000000000102
2,10048880,2,16,0.1,0.021500000000000102
2,10048880,2,16,0.3,0.027600000000000277
2,10048880,2,16,0.5,0.036250000000000525
2,10048880,1,16,0.0,0.021500000000000102
2,10048880,1,16,0.1,0.021500000000000102
2,10048880,1,16,0.3,0.021500000000000102
2,10048880,1,16,0.5,0.03395000000000046
2,10048880,1,32,0.0,0.021500000000000102
2,10048880,1,32,0.1,0.021500000000000102
2,10048880,1,32,0.3,0.058650000000001166
2,10048880,1,32,0.5,0.06430000000000108
2,10048880,1,64,0.0,0.021500000000000102
2,10048880,1,64,0.1,0.04315000000000072
2,10048880,1,64,0.3,0.05170000000000097
2,10048880,1,64,0.5,0.08159999999999917
2,10048880,2,4,0.0,0.021500000000000102
2,10048880,2,4,0.1,0.021500000000000102
2,10048880,2,4,0.3,0.021500000000000102
2,10048880,2,4,0.5,0.021500000000000102
2,10048880,4,4,0.0,0.021500000000000102
2,10048880,4,4,0.1,0.021500000000000102
2,10048880,4,4,0.3,0.021500000000000102
2,10048880,4,4,0.5,0.021500000000000102
2,10048880,4,8,0.0,0.021500000000000102
2,10048880,4,8,0.1,0.021500000000000102
2,10048880,4,8,0.3,0.021500000000000102
2,10048880,4,8,0.5,0.021500000000000102
1,48879,8,32,0.0,0.021500000000000102
1,48879,8,32,0.1,0.024300000000000183
1,48879,8,32,0.3,0.023650000000000164
1,48879,8,32,0.5,0.029950000000000344
1,48879,8,64,0.0,0.021500000000000102
1,48879,8,64,0.1,0.02530000000000021
1,48879,8,64,0.3,0.02425000000000018
1,48879,8,64,0.5,0.029950000000000344
2,10048880,2,32,0.0,0.021500000000000102
2,10048880,2,32,0.1,0.02950000000000033
2,10048880,2,32,0.3,0.039450000000000617
2,10048880,2,32,0.5,0.04060000000000065
2,10048880,2,64,0.0,0.021500000000000102
2,10048880,2,64,0.1,0.02950000000000033
2,10048880,2,64,0.3,0.03265000000000042
2,10048880,2,64,0.5,0.04060000000000065
2,10048880,4,16,0.0,0.021500000000000102
2,10048880,4,16,0.1,0.021500000000000102
2,10048880,4,16,0.3,0.02415000000000018
2,10048880,4,16,0.5,0.029900000000000343
2,10048880,4,32,0.0,0.021500000000000102
2,10048880,4,32,0.1,0.024050000000000175
2,10048880,4,32,0.3,0.03360000000000045
2,10048880,4,32,0.5,0.03145000000000039
2,10048880,8,8,0.0,0.021500000000000102
2,10048880,8,8,0.1,0.021500000000000102
2,10048880,8,8,0.3,0.021500000000000102
2,10048880,8,8,0.5,0.021500000000000102
2,10048880,8,16,0.0,0.021500000000000102
2,10048880,8,16,0.1,0.021500000000000102
2,10048880,8,16,0.3,0.023250000000000152
2,10048880,8,16,0.5,0.0283500000000003
3,20048881,1,4,0.0,0.021500000000000102
3,20048881,1,4,0.1,0.021500000000000102
3,20048881,1,4,0.3,0.021500000000000102
3,20048881,1,4,0.5,0.021500000000000102
3,20048881,1,8,0.0,0.021500000000000102
3,20048881,1,8,0.1,0.021500000000000102
3,20048881,1,8,0.3,0.021500000000000102
3,20048881,1,8,0.5,0.021500000000000102
2,10048880,4,64,0.0,0.021500000000000102
2,10048880,4,64,0.1,0.03285000000000043
2,10048880,4,64,0.3,0.036600000000000535
2,10048880,4,64,0.5,0.034500000000000475
2,10048880,8,4,0.0,0.021500000000000102
2,10048880,8,4,0.1,0.021500000000000102
