run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
19,180051984,64,0.0,adaptive,0.021500000000000102,1.0,1
19,180051984,64,0.1,adaptive,0.021500000000000102,1.0,1
19,180051984,64,0.3,adaptive,0.021500000000000102,1.0,1
19,180051984,64,0.5,adaptive,0.03515000000000049,1.28125,4
20,190051985,64,0.0,adaptive,0.021500000000000102,1.0,1
20,190051985,64,0.1,adaptive,0.03270000000000042,1.078125,4
20,190051985,64,0.3,adaptive,0.025450000000000216,1.0625,3
20,190051985,64,0.5,adaptive,0.03850000000000059,1.28125,4
17,160051982,64,0.0,adaptive,0.021500000000000102,1.0,1
17,160051982,64,0.1,adaptive,0.03130000000000038,1.046875,4
17,160051982,64,0.3,adaptive,0.028600000000000306,1.046875,3
17,160051982,64,0.5,adaptive,0.036250000000000525,1.25,4
18,170051983,64,0.0,adaptive,0.021500000000000102,1.0,1
18,170051983,64,0.1,adaptive,0.03235000000000041,1.109375,4
18,170051983,64,0.3,adaptive,0.036600000000000535,1.234375,4
18,170051983,64,0.5,adaptive,0.039700000000000624,1.34375,4
13,120051978,64,0.0,adaptive,0.021500000000000102,1.0,1
13,120051978,64,0.1,adaptive,0.021500000000000102,1.0,1
13,120051978,64,0.3,adaptive,0.03720000000000055,1.21875,4
13,120051978,64,0.5,adaptive,0.035200000000000495,1.21875,4
14,130051979,64,0.0,adaptive,0.021500000000000102,1.0,1
14,130051979,64,0.1,adaptive,0.021500000000000102,1.0,1
14,130051979,64,0.3,adaptive,0.04120000000000067,1.109375,4
14,130051979,64,0.5,adaptive,0.03340000000000044,1.171875,4
11,100051976,64,0.0,adaptive,0.021500000000000102,1.0,1
11,100051976,64,0.1,adaptive,0.031350000000000385,1.03125,3
11,100051976,64,0.3,adaptive,0.03160000000000039,1.046875,4
11,100051976,64,0.5,adaptive,0.039000000000000604,1.171875,4
12,110051977,64,0.0,adaptive,0.021500000000000102,1.0,1
12,110051977,64,0.1,adaptive,0.022950000000000144,1.015625,2
12,110051977,64,0.3,adaptive,0.03515000000000049,1.046875,4
12,110051977,64,0.5,adaptive,0.04175000000000068,1.25,4
9,80051974,64,0.0,adaptive,0.021500000000000102,1.0,1
9,80051974,64,0.1,adaptive,0.028550000000000304,1.03125,3
9,80051974,64,0.3,adaptive,0.04505000000000078,1.171875,4
9,80051974,64,0.5,adaptive,0.03650000000000053,1.15625,4
10,90051975,64,0.0,adaptive,0.021500000000000102,1.0,1
10,90051975,64,0.1,adaptive,0.03475000000000048,1.046875,4
10,90051975,64,0.3,adaptive,0.0319500000000004,1.125,3
10,90051975,64,0.5,adaptive,0.035550000000000505,1.1875,4
3,20051968,64,0.0,adaptive,0.021500000000000102,1.0,1
3,20051968,64,0.1,adaptive,0.039350000000000614,1.15625,4
3,20051968,64,0.3,adaptive,0.036950000000000545,1.296875,4
3,20051968,64,0.5,adaptive,0.04070000000000065,1.25,4
4,30051969,64,0.0,adaptive,0.021500000000000102,1.0,1
4,30051969,64,0.1,adaptive,0.030750000000000367,1.09375,4
4,30051969,64,0.3,adaptive,0.030750000000000367,1.125,3
4,30051969,64,0.5,adaptive,0.03285000000000043,1.1875,4
5,40051970,64,0.0,adaptive,0.021500000000000102,1.0,1
5,40051970,64,0.1,adaptive,0.04170000000000068,1.09375,4
5,40051970,64,0.3,adaptive,0.032800000000000426,1.1875,4
5,40051970,64,0.5,adaptive,0.03705000000000055,1.25,4
6,50051971,64,0.0,adaptive,0.021500000000000102,1.0,1
6,50051971,64,0.1,adaptive,0.02660000000000025,1.0625,3
6,50051971,64,0.3,adaptive,0.03055000000000036,1.125,3
6,50051971,64,0.5,adaptive,0.0388500000000006,1.28125,4
1,51966,64,0.0,adaptive,0.021500000000000102,1.0,1
1,51966,64,0.1,adaptive,0.029650000000000336,1.046875,3
1,51966,64,0.3,adaptive,0.033850000000000456,1.171875,4
1,51966,64,0.5,adaptive,0.03755000000000056,1.15625,4
2,10051967,64,0.0,adaptive,0.021500000000000102,1.0,1
2,10051967,64,0.1,adaptive,0.0318000000000004,1.078125,4
2,10051967,64,0.3,adaptive,0.03445000000000047,1.1875,4
2,10051967,64,0.5,adaptive,0.034150000000000465,1.25,4
7,60051972,64,0.0,adaptive,0.021500000000000102,1.0,1
7,60051972,64,0.1,adaptive,0.039700000000000624,1.078125,4
7,60051972,64,0.3,adaptive,0.0320000000000004,1.0625,4
7,60051972,64,0.5,adaptive,0.030350000000000356,1.125,3
8,70051973,64,0.0,adaptive,0.021500000000000102,1.0,1
8,70051973,64,0.1,adaptive,0.027900000000000286,1.0625,3
8,70051973,64,0.3,adaptive,0.03425000000000047,1.203125,4
8,70051973,64,0.5,adaptive,0.042150000000000694,1.296875,4
15,140051980,64,0.0,adaptive,0.021500000000000102,1.0,1
15,140051980,64,0.1,adaptive,0.031350000000000385,1.078125,4
