run,k,completion_time_s
14,1,0.10959999999999609
14,2,0.10069999999999707
14,4,0.059000000000001177
14,8,0.04100000000000066
15,1,0.12834999999999402
15,2,0.08554999999999874
15,4,0.050950000000000946
15,8,0.041850000000000685
8,1,0.14059999999999268
8,2,0.07919999999999944
8,4,0.06390000000000112
8,8,0.05260000000000099
9,1,0.12609999999999427
9,2,0.09479999999999772
9,4,0.05570000000000108
9,8,0.037950000000000574
2,1,0.11704999999999527
2,2,0.08729999999999855
2,4,0.08059999999999928
2,8,0.056800000000001113
3,1,0.13639999999999314
3,2,0.08214999999999911
3,4,0.060300000000001214
3,8,0.04270000000000071
0,1,0.12419999999999448
0,2,0.08524999999999877
0,4,0.06420000000000109
0,8,0.04995000000000092
1,1,0.12724999999999415
1,2,0.10269999999999685
1,4,0.053350000000001015
1,8,0.0459000000000008
16,1,0.12254999999999466
16,2,0.07574999999999982
16,4,0.057900000000001145
16,8,0.04735000000000084
17,1,0.15099999999999153
17,2,0.08509999999999879
17,4,0.06965000000000049
17,8,0.04175000000000068
10,1,0.11519999999999547
10,2,0.08544999999999875
10,4,0.0598500000000012
10,8,0.04870000000000088
11,1,0.14469999999999222
11,2,0.08974999999999828
11,4,0.06275000000000125
11,8,0.04895000000000089
4,1,0.1548999999999911
4,2,0.08879999999999838
4,4,0.05385000000000103
4,8,0.045700000000000796
5,1,0.12149999999999478
5,2,0.08464999999999884
5,4,0.05780000000000114
5,8,0.05560000000000108
12,1,0.11684999999999529
12,2,0.1085499999999962
12,4,0.06940000000000052
12,8,0.047800000000000856
13,1,0.119549999999995
13,2,0.08894999999999836
13,4,0.06610000000000088
13,8,0.04725000000000084
6,1,0.1258999999999943
6,2,0.09869999999999729
6,4,0.07095000000000035
6,8,0.05505000000000106
7,1,0.12569999999999432
7,2,0.09829999999999733
7,4,0.0598000000000012
7,8,0.044950000000000774
18,1,0.13884999999999287
18,2,0.10249999999999687
18,4,0.08299999999999902
18,8,0.06280000000000124
19,1,0.12564999999999432
19,2,0.07559999999999983
19,4,0.05945000000000119
19,8,0.052650000000000995
22,1,0.13924999999999282
22,2,0.1049499999999966
22,4,0.06610000000000088
22,8,0.04830000000000087
23,1,0.11374999999999563
23,2,0.08259999999999906
23,4,0.0597500000000012
23,8,0.04365000000000074
32,1,0.13599999999999318
32,2,0.07884999999999948
32,4,0.05695000000000112
32,8,0.04700000000000083
33,1,0.15619999999999096
33,2,0.07310000000000011
33,4,0.04790000000000086
33,8,0.042550000000000705
20,1,0.1357999999999932
20,2,0.10874999999999618
20,4,0.07155000000000028
20,8,0.048850000000000886
21,1,0.18289999999998802
21,2,0.09209999999999802
21,4,0.06055000000000122
21,8,0.04310000000000072
28,1,0.13419999999999338
28,2,0.11694999999999528
28,4,0.06455000000000105
28,8,0.05170000000000097
29,1,0.1275499999999941
29,2,0.07744999999999963
29,4,0.06230000000000127
29,8,0.049150000000000894
30,1,0.12904999999999395
30,2,0.08569999999999872
30,4,0.06715000000000076
30,8,0.045650000000000794
31,1,0.13809999999999295
31,2,0.0958499999999976
31,4,0.064950000000001
31,8,0.04975000000000091
24,1,0.12659999999999422
24,2,0.09024999999999822
24,4,0.06655000000000083
24,8,0.05450000000000105
25,1,0.1295999999999939
25,2,0.1067499999999964
25,4,0.06765000000000071
25,8,0.052650000000000995
34,1,0.1357499999999932
34,2,0.09254999999999797
34,4,0.06510000000000099
34,8,0.05330000000000101
35,1,0.14564999999999212
