run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
12,110051977,16,0.0,adaptive,0.021500000000000102,1.0,1
12,110051977,16,0.1,adaptive,0.0320000000000004,1.8125,3
12,110051977,16,0.3,adaptive,0.036900000000000543,2.6875,4
12,110051977,16,0.5,adaptive,0.04755000000000085,3.625,4
12,110051977,64,0.0,adaptive,0.03260000000000042,1.3125,4
12,110051977,64,0.1,adaptive,0.04070000000000065,1.96875,4
12,110051977,64,0.3,adaptive,0.0458000000000008,3.0,4
12,110051977,64,0.5,adaptive,0.05215000000000098,3.671875,4
5,40051970,16,0.0,adaptive,0.021500000000000102,1.0,1
5,40051970,16,0.1,adaptive,0.03115000000000038,1.1875,3
5,40051970,16,0.3,adaptive,0.04090000000000066,3.0,4
5,40051970,16,0.5,adaptive,0.0494500000000009,3.625,4
5,40051970,64,0.0,adaptive,0.02665000000000025,1.03125,2
5,40051970,64,0.1,adaptive,0.04050000000000065,1.578125,4
5,40051970,64,0.3,adaptive,0.04370000000000074,2.859375,4
5,40051970,64,0.5,adaptive,0.06220000000000127,3.75,4
7,60051972,16,0.0,adaptive,0.021500000000000102,1.0,1
7,60051972,16,0.1,adaptive,0.03845000000000059,2.125,4
7,60051972,16,0.3,adaptive,0.039350000000000614,2.9375,4
7,60051972,16,0.5,adaptive,0.04260000000000071,3.375,4
7,60051972,64,0.0,adaptive,0.029000000000000317,1.125,3
7,60051972,64,0.1,adaptive,0.04265000000000071,2.171875,4
7,60051972,64,0.3,adaptive,0.05110000000000095,3.25,4
7,60051972,64,0.5,adaptive,0.07285000000000014,3.515625,4
1,51966,16,0.0,adaptive,0.021500000000000102,1.0,1
1,51966,16,0.1,adaptive,0.036950000000000545,1.75,4
1,51966,16,0.3,adaptive,0.04205000000000069,2.5,4
1,51966,16,0.5,adaptive,0.045650000000000794,3.3125,4
1,51966,64,0.0,adaptive,0.030350000000000356,1.21875,3
1,51966,64,0.1,adaptive,0.042550000000000705,2.15625,4
1,51966,64,0.3,adaptive,0.05455000000000105,2.859375,4
1,51966,64,0.5,adaptive,0.05805000000000115,3.4375,4
10,90051975,16,0.0,adaptive,0.021500000000000102,1.0,1
