run,k,affected_fraction,completion_time_s
0,1,0.0,0.04295000000000072
0,2,0.0,0.03225000000000041
0,4,0.0,0.026850000000000256
0,8,0.0,0.021500000000000102
1,1,0.0,0.04295000000000072
1,2,0.0,0.03225000000000041
1,4,0.0,0.021500000000000102
1,8,0.0,0.021500000000000102
2,1,0.0,0.04295000000000072
2,2,0.0,0.03225000000000041
2,4,0.0,0.026850000000000256
2,8,0.0,0.021500000000000102
3,1,0.0,0.04295000000000072
3,2,0.0,0.03225000000000041
3,4,0.0,0.021500000000000102
3,8,0.0,0.02420000000000018
4,1,0.0,0.04295000000000072
4,2,0.0,0.021500000000000102
4,4,0.0,0.024450000000000187
4,8,0.0,0.021850000000000112
5,1,0.0,0.04295000000000072
5,2,0.0,0.021500000000000102
5,4,0.0,0.021500000000000102
5,8,0.0,0.021500000000000102
6,1,0.0,0.04295000000000072
6,2,0.0,0.03225000000000041
6,4,0.0,0.021500000000000102
6,8,0.0,0.021500000000000102
7,1,0.0,0.04295000000000072
7,2,0.0,0.03225000000000041
7,4,0.0,0.021500000000000102
7,8,0.0,0.021500000000000102
8,1,0.0,0.06445000000000106
8,2,0.0,0.03225000000000041
8,4,0.0,0.021500000000000102
8,8,0.0,0.021500000000000102
9,1,0.0,0.04295000000000072
9,2,0.0,0.04295000000000072
9,4,0.0,0.03225000000000041
9,8,0.0,0.02420000000000018
10,1,0.0,0.04295000000000072
10,2,0.0,0.021500000000000102
10,4,0.0,0.04165000000000068
10,8,0.0,0.028200000000000294
11,1,0.0,0.04295000000000072
11,2,0.0,0.03225000000000041
11,4,0.0,0.021500000000000102
11,8,0.0,0.021500000000000102
12,1,0.0,0.04295000000000072
12,2,0.0,0.03225000000000041
12,4,0.0,0.021500000000000102
12,8,0.0,0.021500000000000102
13,1,0.0,0.021500000000000102
13,2,0.0,0.03225000000000041
13,4,0.0,0.026850000000000256
13,8,0.0,0.02180000000000011
14,1,0.0,0.04295000000000072
14,2,0.0,0.03225000000000041
14,4,0.0,0.02175000000000011
14,8,0.0,0.021550000000000104
15,1,0.0,0.04295000000000072
15,2,0.0,0.03225000000000041
15,4,0.0,0.03225000000000041
15,8,0.0,0.024050000000000175
16,1,0.0,0.04295000000000072
16,2,0.0,0.021500000000000102
16,4,0.0,0.021500000000000102
16,8,0.0,0.021500000000000102
17,1,0.0,0.04295000000000072
17,2,0.0,0.04295000000000072
17,4,0.0,0.026850000000000256
17,8,0.0,0.02420000000000018
18,1,0.0,0.04295000000000072
18,2,0.0,0.03225000000000041
18,4,0.0,0.026850000000000256
18,8,0.0,0.021500000000000102
19,1,0.0,0.04295000000000072
19,2,0.0,0.03225000000000041
19,4,0.0,0.021500000000000102
19,8,0.0,0.021500000000000102
20,1,0.0,0.04295000000000072
20,2,0.0,0.03225000000000041
20,4,0.0,0.022700000000000137
20,8,0.0,0.02175000000000011
21,1,0.0,0.04295000000000072
21,2,0.0,0.03225000000000041
21,4,0.0,0.022000000000000117
21,8,0.0,0.02280000000000014
22,1,0.0,0.04295000000000072
22,2,0.0,0.03225000000000041
22,4,0.0,0.021500000000000102
22,8,0.0,0.021600000000000105
23,1,0.0,0.04295000000000072
23,2,0.0,0.03225000000000041
23,4,0.0,0.021500000000000102
23,8,0.0,0.021500000000000102
24,1,0.0,0.04295000000000072
24,2,0.0,0.03405000000000046
24,4,0.0,0.026850000000000256
24,8,0.0,0.021650000000000107
25,1,0.0,0.04295000000000072
25,2,0.0,0.03225000000000041
25,4,0.0,0.03225000000000041
25,8,0.0,0.021550000000000104
26,1,0.0,0.04295000000000072
26,2,0.0,0.03225000000000041
26,4,0.0,0.023600000000000163
26,8,0.0,0.023600000000000163
27,1,0.0,0.04295000000000072
27,2,0.0,0.03225000000000041
27,4,0.0,0.026850000000000256
27,8,0.0,0.021550000000000104
28,1,0.0,0.04295000000000072
28,2,0.0,0.03225000000000041
28,4,0.0,0.023400000000000157
28,8,0.0,0.023400000000000157
29,1,0.0,0.04295000000000072
29,2,0.0,0.03225000000000041
29,4,0.0,0.021500000000000102
29,8,0.0,0.021500000000000102
30,1,0.0,0.06445000000000106
30,2,0.0,0.03225000000000041
30,4,0.0,0.021500000000000102
30,8,0.0,0.021500000000000102
31,1,0.0,0.04295000000000072
31,2,0.0,0.03225000000000041
31,4,0.0,0.023600000000000163
31,8,0.0,0.02175000000000011
32,1,0.0,0.04295000000000072
32,2,0.0,0.03225000000000041
32,4,0.0,0.021500000000000102
32,8,0.0,0.021500000000000102
33,1,0.0,0.04295000000000072
33,2,0.0,0.03225000000000041
33,4,0.0,0.026850000000000256
33,8,0.0,0.021500000000000102
34,1,0.0,0.04295000000000072
34,2,0.0,0.03225000000000041
34,4,0.0,0.026850000000000256
34,8,0.0,0.021500000000000102
35,1,0.0,0.04295000000000072
35,2,0.0,0.03225000000000041
35,4,0.0,0.03225000000000041
35,8,0.0,0.02420000000000018
36,1,0.0,0.04295000000000072
36,2,0.0,0.03225000000000041
36,4,0.0,0.021500000000000102
36,8,0.0,0.021500000000000102
37,1,0.0,0.04295000000000072
37,2,0.0,0.04295000000000072
37,4,0.0,0.026850000000000256
37,8,0.0,0.021500000000000102
38,1,0.0,0.04295000000000072
38,2,0.0,0.03225000000000041
38,4,0.0,0.02425000000000018
38,8,0.0,0.021950000000000115
39,1,0.0,0.04295000000000072
39,2,0.0,0.03225000000000041
39,4,0.0,0.026850000000000256
39,8,0.0,0.021500000000000102
40,1,0.0,0.04295000000000072
40,2,0.0,0.04295000000000072
40,4,0.0,0.026850000000000256
40,8,0.0,0.021500000000000102
41,1,0.0,0.04295000000000072
41,2,0.0,0.03225000000000041
41,4,0.0,0.021500000000000102
41,8,0.0,0.021500000000000102
42,1,0.0,0.04295000000000072
42,2,0.0,0.03225000000000041
42,4,0.0,0.021500000000000102
42,8,0.0,0.02180000000000011
43,1,0.0,0.04295000000000072
43,2,0.0,0.03225000000000041
43,4,0.0,0.021500000000000102
43,8,0.0,0.021500000000000102
44,1,0.0,0.06445000000000106
44,2,0.0,0.053700000000001025
44,4,0.0,0.03225000000000041
44,8,0.0,0.021500000000000102
45,1,0.0,0.04295000000000072
45,2,0.0,0.03225000000000041
45,4,0.0,0.021500000000000102
45,8,0.0,0.021500000000000102
46,1,0.0,0.04295000000000072
46,2,0.0,0.03225000000000041
46,4,0.0,0.021500000000000102
46,8,0.0,0.021500000000000102
47,1,0.0,0.04295000000000072
47,2,0.0,0.03225000000000041
47,4,0.0,0.026850000000000256
47,8,0.0,0.022050000000000118
48,1,0.0,0.04295000000000072
48,2,0.0,0.021500000000000102
48,4,0.0,0.021500000000000102
48,8,0.0,0.021500000000000102
49,1,0.0,0.04295000000000072
49,2,0.0,0.021500000000000102
49,4,0.0,0.021500000000000102
49,8,0.0,0.021500000000000102
50,1,0.0,0.04295000000000072
50,2,0.0,0.03225000000000041
50,4,0.0,0.021500000000000102
50,8,0.0,0.021500000000000102
51,1,0.0,0.04295000000000072
51,2,0.0,0.021500000000000102
51,4,0.0,0.021500000000000102
51,8,0.0,0.021500000000000102
52,1,0.0,0.04295000000000072
52,2,0.0,0.03225000000000041
52,4,0.0,0.021500000000000102
52,8,0.0,0.021500000000000102
53,1,0.0,0.04295000000000072
53,2,0.0,0.03225000000000041
53,4,0.0,0.021500000000000102
53,8,0.0,0.021500000000000102
54,1,0.0,0.04295000000000072
54,2,0.0,0.04295000000000072
54,4,0.0,0.03225000000000041
54,8,0.0,0.021500000000000102
55,1,0.0,0.04295000000000072
55,2,0.0,0.04295000000000072
55,4,0.0,0.026850000000000256
55,8,0.0,0.02175000000000011
56,1,0.0,0.04295000000000072
56,2,0.0,0.03225000000000041
56,4,0.0,0.021500000000000102
56,8,0.0,0.02420000000000018
57,1,0.0,0.04295000000000072
57,2,0.0,0.04295000000000072
57,4,0.0,0.026850000000000256
57,8,0.0,0.021500000000000102
58,1,0.0,0.04295000000000072
58,2,0.0,0.03225000000000041
58,4,0.0,0.026850000000000256
58,8,0.0,0.021500000000000102
59,1,0.0,0.04295000000000072
59,2,0.0,0.03225000000000041
59,4,0.0,0.021500000000000102
59,8,0.0,0.021600000000000105
60,1,0.0,0.04295000000000072
60,2,0.0,0.021500000000000102
60,4,0.0,0.021500000000000102
60,8,0.0,0.021500000000000102
61,1,0.0,0.04295000000000072
61,2,0.0,0.021500000000000102
61,4,0.0,0.021500000000000102
61,8,0.0,0.021500000000000102
62,1,0.0,0.04295000000000072
62,2,0.0,0.03225000000000041
62,4,0.0,0.021500000000000102
62,8,0.0,0.021550000000000104
63,1,0.0,0.04295000000000072
63,2,0.0,0.03225000000000041
63,4,0.0,0.026850000000000256
63,8,0.0,0.021500000000000102
64,1,0.0,0.04295000000000072
64,2,0.0,0.03225000000000041
64,4,0.0,0.021500000000000102
64,8,0.0,0.021500000000000102
65,1,0.0,0.04295000000000072
65,2,0.0,0.03225000000000041
65,4,0.0,0.023650000000000164
65,8,0.0,0.023650000000000164
66,1,0.0,0.04295000000000072
66,2,0.0,0.03225000000000041
66,4,0.0,0.026850000000000256
66,8,0.0,0.021550000000000104
67,1,0.0,0.04295000000000072
67,2,0.0,0.03225000000000041
67,4,0.0,0.021500000000000102
67,8,0.0,0.021500000000000102
68,1,0.0,0.04295000000000072
68,2,0.0,0.03225000000000041
68,4,0.0,0.022900000000000142
68,8,0.0,0.025000000000000203
69,1,0.0,0.04295000000000072
69,2,0.0,0.03225000000000041
69,4,0.0,0.026850000000000256
69,8,0.0,0.02420000000000018
70,1,0.0,0.04295000000000072
70,2,0.0,0.03225000000000041
70,4,0.0,0.026850000000000256
70,8,0.0,0.021500000000000102
71,1,0.0,0.04295000000000072
71,2,0.0,0.03225000000000041
71,4,0.0,0.03225000000000041
71,8,0.0,0.022000000000000117
72,1,0.0,0.04295000000000072
72,2,0.0,0.03225000000000041
72,4,0.0,0.026850000000000256
72,8,0.0,0.021500000000000102
73,1,0.0,0.04295000000000072
73,2,0.0,0.03225000000000041
73,4,0.0,0.021500000000000102
73,8,0.0,0.021500000000000102
74,1,0.0,0.04295000000000072
74,2,0.0,0.03225000000000041
74,4,0.0,0.021500000000000102
74,8,0.0,0.021500000000000102
75,1,0.0,0.04295000000000072
75,2,0.0,0.03225000000000041
75,4,0.0,0.022300000000000125
75,8,0.0,0.022300000000000125
76,1,0.0,0.04295000000000072
76,2,0.0,0.03225000000000041
76,4,0.0,0.021500000000000102
76,8,0.0,0.021500000000000102
77,1,0.0,0.04295000000000072
77,2,0.0,0.03225000000000041
77,4,0.0,0.021500000000000102
77,8,0.0,0.021500000000000102
78,1,0.0,0.04295000000000072
78,2,0.0,0.03225000000000041
78,4,0.0,0.021950000000000115
78,8,0.0,0.021600000000000105
79,1,0.0,0.04295000000000072
79,2,0.0,0.03225000000000041
79,4,0.0,0.021700000000000108
79,8,0.0,0.021550000000000104
80,1,0.0,0.06445000000000106
80,2,0.0,0.03225000000000041
80,4,0.0,0.021500000000000102
80,8,0.0,0.021500000000000102
81,1,0.0,0.04295000000000072
81,2,0.0,0.04295000000000072
81,4,0.0,0.026850000000000256
81,8,0.0,0.021500000000000102
82,1,0.0,0.04295000000000072
82,2,0.0,0.03225000000000041
82,4,0.0,0.021500000000000102
82,8,0.0,0.021500000000000102
83,1,0.0,0.04295000000000072
83,2,0.0,0.03225000000000041
83,4,0.0,0.021500000000000102
83,8,0.0,0.021550000000000104
84,1,0.0,0.04295000000000072
84,2,0.0,0.03225000000000041
84,4,0.0,0.02315000000000015
84,8,0.0,0.02315000000000015
85,1,0.0,0.04295000000000072
85,2,0.0,0.03225000000000041
85,4,0.0,0.021500000000000102
85,8,0.0,0.021850000000000112
86,1,0.0,0.04295000000000072
86,2,0.0,0.03225000000000041
86,4,0.0,0.026850000000000256
86,8,0.0,0.021650000000000107
87,1,0.0,0.04295000000000072
87,2,0.0,0.03225000000000041
87,4,0.0,0.026850000000000256
87,8,0.0,0.021500000000000102
88,1,0.0,0.04295000000000072
88,2,0.0,0.03225000000000041
88,4,0.0,0.026850000000000256
88,8,0.0,0.021500000000000102
89,1,0.0,0.04295000000000072
89,2,0.0,0.03225000000000041
89,4,0.0,0.021500000000000102
89,8,0.0,0.021500000000000102
90,1,0.0,0.04295000000000072
90,2,0.0,0.02350000000000016
90,4,0.0,0.026850000000000256
90,8,0.0,0.021550000000000104
91,1,0.0,0.04295000000000072
91,2,0.0,0.03225000000000041
91,4,0.0,0.026850000000000256
91,8,0.0,0.02420000000000018
92,1,0.0,0.04295000000000072
92,2,0.0,0.03225000000000041
92,4,0.0,0.021500000000000102
92,8,0.0,0.021500000000000102
93,1,0.0,0.04295000000000072
93,2,0.0,0.03225000000000041
93,4,0.0,0.021500000000000102
93,8,0.0,0.021500000000000102
94,1,0.0,0.04295000000000072
94,2,0.0,0.03225000000000041
94,4,0.0,0.023350000000000155
94,8,0.0,0.02180000000000011
95,1,0.0,0.04295000000000072
95,2,0.0,0.03225000000000041
95,4,0.0,0.021850000000000112
95,8,0.0,0.021850000000000112
96,1,0.0,0.04295000000000072
96,2,0.0,0.04295000000000072
96,4,0.0,0.026850000000000256
96,8,0.0,0.021500000000000102
97,1,0.0,0.04295000000000072
97,2,0.0,0.03225000000000041
97,4,0.0,0.021500000000000102
97,8,0.0,0.021600000000000105
98,1,0.0,0.04295000000000072
98,2,0.0,0.03225000000000041
98,4,0.0,0.021500000000000102
98,8,0.0,0.021500000000000102
99,1,0.0,0.06445000000000106
99,2,0.0,0.04295000000000072
99,4,0.0,0.026850000000000256
99,8,0.0,0.021500000000000102
100,1,0.0,0.04295000000000072
100,2,0.0,0.03225000000000041
100,4,0.0,0.021500000000000102
100,8,0.0,0.021500000000000102
101,1,0.0,0.04295000000000072
101,2,0.0,0.03225000000000041
101,4,0.0,0.021500000000000102
101,8,0.0,0.021500000000000102
102,1,0.0,0.04295000000000072
102,2,0.0,0.03225000000000041
102,4,0.0,0.026850000000000256
102,8,0.0,0.021500000000000102
103,1,0.0,0.04295000000000072
103,2,0.0,0.021500000000000102
103,4,0.0,0.021500000000000102
103,8,0.0,0.021600000000000105
104,1,0.0,0.04295000000000072
104,2,0.0,0.03225000000000041
104,4,0.0,0.022050000000000118
104,8,0.0,0.022050000000000118
105,1,0.0,0.04295000000000072
105,2,0.0,0.03225000000000041
105,4,0.0,0.026850000000000256
105,8,0.0,0.021500000000000102
106,1,0.0,0.04295000000000072
106,2,0.0,0.03225000000000041
106,4,0.0,0.021500000000000102
106,8,0.0,0.021500000000000102
107,1,0.0,0.06925000000000053
107,2,0.0,0.036650000000000536
107,4,0.0,0.02450000000000019
107,8,0.0,0.021900000000000114
108,1,0.0,0.04295000000000072
108,2,0.0,0.03225000000000041
108,4,0.0,0.026850000000000256
108,8,0.0,0.021500000000000102
109,1,0.0,0.04295000000000072
109,2,0.0,0.022000000000000117
109,4,0.0,0.021650000000000107
109,8,0.0,0.021650000000000107
110,1,0.0,0.04295000000000072
110,2,0.0,0.04295000000000072
110,4,0.0,0.026850000000000256
110,8,0.0,0.021850000000000112
111,1,0.0,0.04295000000000072
111,2,0.0,0.03225000000000041
111,4,0.0,0.021500000000000102
111,8,0.0,0.021500000000000102
112,1,0.0,0.04295000000000072
112,2,0.0,0.03225000000000041
112,4,0.0,0.021500000000000102
112,8,0.0,0.021500000000000102
113,1,0.0,0.04295000000000072
113,2,0.0,0.03225000000000041
113,4,0.0,0.026850000000000256
113,8,0.0,0.02355000000000016
114,1,0.0,0.04295000000000072
114,2,0.0,0.03225000000000041
114,4,0.0,0.021500000000000102
114,8,0.0,0.021500000000000102
115,1,0.0,0.04295000000000072
115,2,0.0,0.03225000000000041
115,4,0.0,0.021500000000000102
115,8,0.0,0.021500000000000102
116,1,0.0,0.04295000000000072
116,2,0.0,0.021500000000000102
116,4,0.0,0.026850000000000256
116,8,0.0,0.021850000000000112
117,1,0.0,0.04295000000000072
117,2,0.0,0.03225000000000041
117,4,0.0,0.03225000000000041
117,8,0.0,0.021500000000000102
118,1,0.0,0.04295000000000072
118,2,0.0,0.04295000000000072
118,4,0.0,0.021500000000000102
118,8,0.0,0.023100000000000148
119,1,0.0,0.04295000000000072
119,2,0.0,0.03225000000000041
119,4,0.0,0.026850000000000256
119,8,0.0,0.021500000000000102
120,1,0.0,0.04295000000000072
120,2,0.0,0.03225000000000041
120,4,0.0,0.021500000000000102
120,8,0.0,0.021500000000000102
121,1,0.0,0.04295000000000072
121,2,0.0,0.03225000000000041
121,4,0.0,0.021500000000000102
121,8,0.0,0.021500000000000102
122,1,0.0,0.06445000000000106
122,2,0.0,0.03225000000000041
122,4,0.0,0.021500000000000102
122,8,0.0,0.021500000000000102
123,1,0.0,0.04295000000000072
123,2,0.0,0.03225000000000041
123,4,0.0,0.021500000000000102
123,8,0.0,0.021500000000000102
124,1,0.0,0.04295000000000072
