ring_size,k,affected_fraction,n_seeds,speedup,speedup_ci_low,speedup_ci_high,total_qps
64,1,0.0,1000,1.0,1.0,1.0,64
64,2,0.0,1000,1.4095433147826968,1.3917463523480458,1.427345709318098,128
64,4,0.0,1000,1.8896309059210705,1.8674772824394608,1.9118699137604735,256
64,8,0.0,1000,2.0480566022538054,2.029873052978513,2.0661203927412726,512
64,1,0.1,1000,1.0,1.0,1.0,64
64,2,0.1,1000,1.5171526833043987,1.4983432291739331,1.5362546814300586,128
64,4,0.1,1000,2.0282637985835827,1.9997304910178568,2.0570783661287098,256
64,8,0.1,1000,2.461725198895208,2.4264534865091583,2.4965962705749845,512
64,1,0.3,1000,1.0,1.0,1.0,64
64,2,0.3,1000,1.5107575805513698,1.4938872774962009,1.5269649311468705,128
64,4,0.3,1000,2.117685752965498,2.092550566934773,2.1434033797310112,256
64,8,0.3,1000,2.7256377937825365,2.694465351517907,2.7565390149474314,512
