ring_size,k,affected_fraction,speedup,speedup_ci_low,speedup_ci_high,n_seeds,total_qps,experiment,method,k_mean
4,1,0.0,1.0,1.0,1.0,1000,4,static,,1
4,2,0.0,1.0082703488848042,1.003443982848454,1.0140592245736948,1000,8,static,,2
4,4,0.0,1.0099948494025373,1.004111987299033,1.017283008129541,1000,16,static,,4
4,8,0.0,1.0104047155298925,1.0042662273315504,1.0181015722237563,1000,32,static,,8
4,1,0.1,1.0,1.0,1.0,1000,4,static,,1
4,2,0.1,1.2733989630619886,1.2499716962952527,1.2967403497218462,1000,8,static,,2
4,4,0.1,1.5942119443213738,1.5571885818797524,1.631652831066357,1000,16,static,,4
4,8,0.1,1.7666378834724015,1.7248051038801637,1.8084020602791393,1000,32,static,,8
4,1,0.3,1.0,1.0,1.0,1000,4,static,,1
4,2,0.3,1.5330684689667509,1.5099325470229874,1.5554985008021358,1000,8,static,,2
4,4,0.3,2.104796837779048,2.0665056231352876,2.142135994827391,1000,16,static,,4
4,8,0.3,2.5170322226115345,2.473457052011544,2.561034007613138,1000,32,static,,8
4,1,0.5,1.0,1.0,1.0,1000,4,static,,1
4,2,0.5,1.6421317039265955,1.6231390204997382,1.6616087840246605,1000,8,static,,2
4,4,0.5,2.32150297754396,2.287448073056903,2.3558159534776744,1000,16,static,,4
4,8,0.5,2.8931752078601627,2.855138547432486,2.9311206239835697,1000,32,static,,8
8,1,0.0,1.0,1.0,1.0,1000,8,static,,1
8,2,0.0,1.0665691642949715,1.05207262845541,1.0822522730693407,1000,16,static,,2
8,4,0.0,1.0764498449034117,1.0600162029417755,1.0932507072384154,1000,32,static,,4
8,8,0.0,1.077114220997992,1.06020532320574,1.0942189472377664,1000,64,static,,8
8,1,0.1,1.0,1.0,1.0,1000,8,static,,1
8,2,0.1,1.3964785546105707,1.3745900030441687,1.418128745547989,1000,16,static,,2
8,4,0.1,1.781347652594503,1.7487758589001012,1.814114720234529,1000,32,static,,4
8,8,0.1,2.0260071812577483,1.9875188361902445,2.063519496684854,1000,64,static,,8
8,1,0.3,1.0,1.0,1.0,1000,8,static,,1
8,2,0.3,1.5917362573882987,1.5712963448377053,1.611793288173753,1000,16,static,,2
8,4,0.3,2.1924272032163494,2.1609997172405517,2.2239959234993627,1000,32,static,,4
8,8,0.3,2.692441557199879,2.654928988813623,2.729374160004788,1000,64,static,,8
8,1,0.5,1.0,1.0,1.0,1000,8,static,,1
