model,seed,k,completion_time_s
onoff,0,1,0.038650000000000594
onoff,0,2,0.02810000000000029
onoff,0,4,0.02810000000000029
onoff,0,8,0.02520000000000021
onoff,1,1,0.06420000000000109
onoff,1,2,0.03365000000000045
onoff,1,4,0.03365000000000045
onoff,1,8,0.02980000000000034
onoff,2,1,0.0912999999999981
onoff,2,2,0.0458000000000008
onoff,2,4,0.028550000000000304
onoff,2,8,0.023050000000000147
onoff,3,1,0.02735000000000027
onoff,3,2,0.02450000000000019
onoff,3,4,0.023250000000000152
onoff,3,8,0.023700000000000165
onoff,4,1,0.021500000000000102
onoff,4,2,0.021500000000000102
onoff,4,4,0.02665000000000025
onoff,4,8,0.022600000000000134
onoff,5,1,0.04375000000000074
onoff,5,2,0.02985000000000034
onoff,5,4,0.025800000000000226
onoff,5,8,0.024450000000000187
onoff,6,1,0.04795000000000086
onoff,6,2,0.035600000000000506
onoff,6,4,0.029700000000000337
onoff,6,8,0.03675000000000054
onoff,7,1,0.021500000000000102
onoff,7,2,0.033500000000000446
onoff,7,4,0.03115000000000038
onoff,7,8,0.034150000000000465
onoff,8,1,0.046400000000000816
onoff,8,2,0.02660000000000025
onoff,8,4,0.02660000000000025
onoff,8,8,0.024050000000000175
onoff,9,1,0.021500000000000102
onoff,9,2,0.021500000000000102
onoff,9,4,0.024400000000000185
onoff,9,8,0.02355000000000016
onoff,10,1,0.029300000000000326
onoff,10,2,0.03020000000000035
onoff,10,4,0.023350000000000155
onoff,10,8,0.023250000000000152
onoff,11,1,0.021500000000000102
onoff,11,2,0.03605000000000052
onoff,11,4,0.026150000000000236
onoff,11,8,0.030700000000000366
onoff,12,1,0.031750000000000396
onoff,12,2,0.023650000000000164
onoff,12,4,0.024050000000000175
onoff,12,8,0.022000000000000117
onoff,13,1,0.021500000000000102
onoff,13,2,0.02660000000000025
onoff,13,4,0.02660000000000025
onoff,13,8,0.02800000000000029
onoff,14,1,0.034200000000000466
onoff,14,2,0.026750000000000253
onoff,14,4,0.026750000000000253
onoff,14,8,0.026500000000000246
onoff,15,1,0.035950000000000516
onoff,15,2,0.03260000000000042
onoff,15,4,0.024300000000000183
onoff,15,8,0.025800000000000226
onoff,16,1,0.048800000000000884
onoff,16,2,0.0284000000000003
onoff,16,4,0.0284000000000003
onoff,16,8,0.02530000000000021
onoff,17,1,0.047800000000000856
onoff,17,2,0.02800000000000029
onoff,17,4,0.02800000000000029
onoff,17,8,0.02455000000000019
onoff,18,1,0.04300000000000072
onoff,18,2,0.028550000000000304
onoff,18,4,0.022950000000000144
onoff,18,8,0.02180000000000011
onoff,19,1,0.029350000000000327
onoff,19,2,0.0284000000000003
onoff,19,4,0.02355000000000016
onoff,19,8,0.02355000000000016
onoff,20,1,0.03360000000000045
onoff,20,2,0.03850000000000059
onoff,20,4,0.027800000000000283
onoff,20,8,0.0284500000000003
onoff,21,1,0.021500000000000102
onoff,21,2,0.021500000000000102
onoff,21,4,0.021500000000000102
onoff,21,8,0.02525000000000021
onoff,22,1,0.047400000000000844
onoff,22,2,0.030400000000000357
onoff,22,4,0.030400000000000357
onoff,22,8,0.02905000000000032
onoff,23,1,0.021500000000000102
onoff,23,2,0.045650000000000794
onoff,23,4,0.045650000000000794
onoff,23,8,0.04840000000000087
onoff,24,1,0.06165000000000125
onoff,24,2,0.037350000000000556
onoff,24,4,0.034150000000000465
onoff,24,8,0.03675000000000054
onoff,25,1,0.03855000000000059
onoff,25,2,0.03015000000000035
onoff,25,4,0.03015000000000035
onoff,25,8,0.022400000000000128
onoff,26,1,0.06125000000000124
onoff,26,2,0.03915000000000061
onoff,26,4,0.028850000000000313
onoff,26,8,0.03265000000000042
onoff,27,1,0.021500000000000102
onoff,27,2,0.023750000000000167
onoff,27,4,0.024700000000000194
onoff,27,8,0.024700000000000194
onoff,28,1,0.04650000000000082
onoff,28,2,0.03055000000000036
onoff,28,4,0.03055000000000036
onoff,28,8,0.02905000000000032
onoff,29,1,0.04435000000000076
onoff,29,2,0.03370000000000045
onoff,29,4,0.03370000000000045
onoff,29,8,0.02385000000000017
onoff,30,1,0.026550000000000247
onoff,30,2,0.022950000000000144
onoff,30,4,0.022950000000000144
onoff,30,8,0.02210000000000012
onoff,31,1,0.04340000000000073
onoff,31,2,0.03425000000000047
onoff,31,4,0.024800000000000197
onoff,31,8,0.02665000000000025
onoff,32,1,0.05570000000000108
onoff,32,2,0.03740000000000056
onoff,32,4,0.03740000000000056
onoff,32,8,0.024450000000000187
onoff,33,1,0.021500000000000102
onoff,33,2,0.027800000000000283
onoff,33,4,0.027800000000000283
onoff,33,8,0.029550000000000333
onoff,34,1,0.047050000000000834
onoff,34,2,0.033450000000000445
onoff,34,4,0.033450000000000445
onoff,34,8,0.0318000000000004
onoff,35,1,0.04160000000000068
onoff,35,2,0.033450000000000445
onoff,35,4,0.024700000000000194
onoff,35,8,0.02450000000000019
onoff,36,1,0.021500000000000102
onoff,36,2,0.021500000000000102
onoff,36,4,0.021500000000000102
onoff,36,8,0.021900000000000114
onoff,37,1,0.021500000000000102
onoff,37,2,0.021500000000000102
onoff,37,4,0.025000000000000203
onoff,37,8,0.02315000000000015
onoff,38,1,0.07564999999999983
onoff,38,2,0.043550000000000734
onoff,38,4,0.03010000000000035
onoff,38,8,0.02670000000000025
onoff,39,1,0.03600000000000052
onoff,39,2,0.0249500000000002
onoff,39,4,0.02705000000000026
onoff,39,8,0.024450000000000187
onoff,40,1,0.06160000000000125
onoff,40,2,0.040750000000000654
onoff,40,4,0.040750000000000654
onoff,40,8,0.042850000000000714
onoff,41,1,0.031750000000000396
onoff,41,2,0.026800000000000254
onoff,41,4,0.022400000000000128
onoff,41,8,0.024750000000000195
onoff,42,1,0.06270000000000125
onoff,42,2,0.038750000000000596
onoff,42,4,0.038750000000000596
onoff,42,8,0.029000000000000317
onoff,43,1,0.021500000000000102
onoff,43,2,0.03750000000000056
onoff,43,4,0.03260000000000042
onoff,43,8,0.036300000000000526
onoff,44,1,0.021500000000000102
onoff,44,2,0.02905000000000032
onoff,44,4,0.02905000000000032
onoff,44,8,0.03090000000000037
onoff,45,1,0.05360000000000102
onoff,45,2,0.03120000000000038
onoff,45,4,0.03120000000000038
onoff,45,8,0.024400000000000185
onoff,46,1,0.039750000000000625
onoff,46,2,0.03410000000000046
onoff,46,4,0.030650000000000364
onoff,46,8,0.028950000000000316
onoff,47,1,0.021500000000000102
onoff,47,2,0.03255000000000042
onoff,47,4,0.03255000000000042
onoff,47,8,0.03440000000000047
onoff,48,1,0.03125000000000038
onoff,48,2,0.02415000000000018
onoff,48,4,0.02415000000000018
onoff,48,8,0.022600000000000134
onoff,49,1,0.026500000000000246
onoff,49,2,0.03235000000000041
onoff,49,4,0.02390000000000017
onoff,49,8,0.02390000000000017
onoff,50,1,0.05815000000000115
onoff,50,2,0.036950000000000545
onoff,50,4,0.028150000000000293
onoff,50,8,0.029900000000000343
onoff,51,1,0.024300000000000183
onoff,51,2,0.02735000000000027
onoff,51,4,0.02390000000000017
onoff,51,8,0.02385000000000017
onoff,52,1,0.03950000000000062
onoff,52,2,0.04895000000000089
onoff,52,4,0.028900000000000314
onoff,52,8,0.028650000000000307
onoff,53,1,0.043200000000000724
onoff,53,2,0.03155000000000039
onoff,53,4,0.03155000000000039
onoff,53,8,0.03335000000000044
onoff,54,1,0.030650000000000364
onoff,54,2,0.02915000000000032
onoff,54,4,0.022650000000000135
onoff,54,8,0.023350000000000155
onoff,55,1,0.057950000000001146
onoff,55,2,0.03780000000000057
onoff,55,4,0.03780000000000057
onoff,55,8,0.0248500000000002
onoff,56,1,0.02945000000000033
onoff,56,2,0.034500000000000475
onoff,56,4,0.034500000000000475
onoff,56,8,0.03705000000000055
onoff,57,1,0.04645000000000082
onoff,57,2,0.029700000000000337
onoff,57,4,0.022900000000000142
onoff,57,8,0.021900000000000114
onoff,58,1,0.0458000000000008
onoff,58,2,0.027800000000000283
onoff,58,4,0.027800000000000283
onoff,58,8,0.023700000000000165
onoff,59,1,0.04755000000000085
onoff,59,2,0.030750000000000367
onoff,59,4,0.030750000000000367
onoff,59,8,0.02390000000000017
onoff,60,1,0.039350000000000614
onoff,60,2,0.032450000000000416
onoff,60,4,0.032450000000000416
onoff,60,8,0.03825000000000058
onoff,61,1,0.05110000000000095
onoff,61,2,0.03580000000000051
onoff,61,4,0.03580000000000051
onoff,61,8,0.031000000000000374
onoff,62,1,0.061750000000001255
onoff,62,2,0.036300000000000526
onoff,62,4,0.036300000000000526
onoff,62,8,0.02630000000000024
onoff,63,1,0.05610000000000109
onoff,63,2,0.03335000000000044
onoff,63,4,0.028950000000000316
onoff,63,8,0.027150000000000264
onoff,64,1,0.052300000000000985
onoff,64,2,0.0320000000000004
onoff,64,4,0.02415000000000018
onoff,64,8,0.02355000000000016
onoff,65,1,0.03965000000000062
onoff,65,2,0.03150000000000039
onoff,65,4,0.03150000000000039
onoff,65,8,0.023350000000000155
onoff,66,1,0.05225000000000098
onoff,66,2,0.032400000000000415
onoff,66,4,0.032400000000000415
onoff,66,8,0.031400000000000386
onoff,67,1,0.04975000000000091
onoff,67,2,0.030650000000000364
onoff,67,4,0.024050000000000175
onoff,67,8,0.02285000000000014
onoff,68,1,0.021500000000000102
onoff,68,2,0.0318500000000004
onoff,68,4,0.0318500000000004
onoff,68,8,0.03740000000000056
onoff,69,1,0.03825000000000058
onoff,69,2,0.040750000000000654
onoff,69,4,0.02880000000000031
onoff,69,8,0.0284000000000003
onoff,70,1,0.03675000000000054
onoff,70,2,0.027200000000000266
onoff,70,4,0.022650000000000135
onoff,70,8,0.02250000000000013
onoff,71,1,0.0494500000000009
onoff,71,2,0.0353000000000005
onoff,71,4,0.0353000000000005
onoff,71,8,0.04030000000000064
onoff,72,1,0.052300000000000985
onoff,72,2,0.039100000000000606
onoff,72,4,0.025350000000000213
onoff,72,8,0.0249000000000002
onoff,73,1,0.021500000000000102
onoff,73,2,0.021500000000000102
onoff,73,4,0.021500000000000102
onoff,73,8,0.02210000000000012
onoff,74,1,0.021500000000000102
onoff,74,2,0.021500000000000102
onoff,74,4,0.023750000000000167
onoff,74,8,0.023750000000000167
onoff,75,1,0.04715000000000084
onoff,75,2,0.03155000000000039
onoff,75,4,0.03155000000000039
onoff,75,8,0.02590000000000023
onoff,76,1,0.021500000000000102
onoff,76,2,0.021500000000000102
onoff,76,4,0.022000000000000117
onoff,76,8,0.023250000000000152
onoff,77,1,0.021500000000000102
onoff,77,2,0.025150000000000207
onoff,77,4,0.025150000000000207
onoff,77,8,0.026850000000000256
onoff,78,1,0.021500000000000102
onoff,78,2,0.030050000000000347
onoff,78,4,0.030050000000000347
onoff,78,8,0.034500000000000475
onoff,79,1,0.021500000000000102
onoff,79,2,0.02810000000000029
onoff,79,4,0.022950000000000144
onoff,79,8,0.022950000000000144
onoff,80,1,0.08889999999999837
onoff,80,2,0.04620000000000081
onoff,80,4,0.03430000000000047
onoff,80,8,0.02905000000000032
onoff,81,1,0.03740000000000056
onoff,81,2,0.028300000000000297
onoff,81,4,0.028300000000000297
onoff,81,8,0.03015000000000035
onoff,82,1,0.04340000000000073
onoff,82,2,0.032050000000000405
onoff,82,4,0.032050000000000405
onoff,82,8,0.03750000000000056
onoff,83,1,0.021500000000000102
onoff,83,2,0.023450000000000158
onoff,83,4,0.023450000000000158
onoff,83,8,0.024650000000000193
onoff,84,1,0.021500000000000102
onoff,84,2,0.0353000000000005
onoff,84,4,0.0353000000000005
onoff,84,8,0.042900000000000715
onoff,85,1,0.04545000000000079
onoff,85,2,0.03430000000000047
onoff,85,4,0.03430000000000047
onoff,85,8,0.04015000000000064
onoff,86,1,0.021500000000000102
onoff,86,2,0.025100000000000205
onoff,86,4,0.025100000000000205
onoff,86,8,0.026100000000000234
onoff,87,1,0.036950000000000545
onoff,87,2,0.03425000000000047
onoff,87,4,0.02810000000000029
onoff,87,8,0.02700000000000026
onoff,88,1,0.021500000000000102
onoff,88,2,0.021500000000000102
onoff,88,4,0.021500000000000102
onoff,88,8,0.021600000000000105
onoff,89,1,0.03720000000000055
onoff,89,2,0.026400000000000243
onoff,89,4,0.02460000000000019
onoff,89,8,0.02250000000000013
onoff,90,1,0.057600000000001136
onoff,90,2,0.033850000000000456
onoff,90,4,0.033850000000000456
onoff,90,8,0.025850000000000227
onoff,91,1,0.021500000000000102
onoff,91,2,0.02985000000000034
onoff,91,4,0.024350000000000184
onoff,91,8,0.02455000000000019
onoff,92,1,0.05085000000000094
onoff,92,2,0.03160000000000039
onoff,92,4,0.03160000000000039
onoff,92,8,0.024300000000000183
onoff,93,1,0.021500000000000102
onoff,93,2,0.03370000000000045
onoff,93,4,0.024700000000000194
onoff,93,8,0.024700000000000194
onoff,94,1,0.03290000000000043
onoff,94,2,0.02735000000000027
onoff,94,4,0.02735000000000027
onoff,94,8,0.03050000000000036
onoff,95,1,0.04315000000000072
onoff,95,2,0.02915000000000032
onoff,95,4,0.0284000000000003
onoff,95,8,0.025000000000000203
onoff,96,1,0.058900000000001174
onoff,96,2,0.033150000000000436
onoff,96,4,0.033150000000000436
onoff,96,8,0.036950000000000545
onoff,97,1,0.021500000000000102
onoff,97,2,0.03785000000000057
onoff,97,4,0.03785000000000057
onoff,97,8,0.04055000000000065
onoff,98,1,0.07649999999999973
onoff,98,2,0.048100000000000864
onoff,98,4,0.029000000000000317
onoff,98,8,0.02350000000000016
onoff,99,1,0.045000000000000775
onoff,99,2,0.02940000000000033
onoff,99,4,0.027500000000000274
onoff,99,8,0.027250000000000267
iid,0,1,0.023250000000000152
iid,0,2,0.021850000000000112
iid,0,4,0.021850000000000112
iid,0,8,0.02175000000000011
iid,1,1,0.02350000000000016
iid,1,2,0.022050000000000118
iid,1,4,0.022050000000000118
iid,1,8,0.021900000000000114
iid,2,1,0.024000000000000174
iid,2,2,0.02210000000000012
iid,2,4,0.021700000000000108
iid,2,8,0.021600000000000105
iid,3,1,0.022900000000000142
iid,3,2,0.02180000000000011
iid,3,4,0.02175000000000011
iid,3,8,0.021900000000000114
iid,4,1,0.021500000000000102
iid,4,2,0.021500000000000102
iid,4,4,0.021600000000000105
iid,4,8,0.021550000000000104
iid,5,1,0.02285000000000014
iid,5,2,0.022000000000000117
iid,5,4,0.02180000000000011
iid,5,8,0.021650000000000107
iid,6,1,0.023050000000000147
iid,6,2,0.02250000000000013
iid,6,4,0.021850000000000112
iid,6,8,0.021900000000000114
iid,7,1,0.021500000000000102
iid,7,2,0.02180000000000011
iid,7,4,0.02175000000000011
iid,7,8,0.021900000000000114
iid,8,1,0.022700000000000137
iid,8,2,0.021700000000000108
iid,8,4,0.021700000000000108
iid,8,8,0.021550000000000104
iid,9,1,0.021500000000000102
iid,9,2,0.021500000000000102
iid,9,4,0.021650000000000107
iid,9,8,0.021600000000000105
iid,10,1,0.023050000000000147
iid,10,2,0.02215000000000012
iid,10,4,0.02180000000000011
iid,10,8,0.021600000000000105
iid,11,1,0.021500000000000102
iid,11,2,0.02180000000000011
iid,11,4,0.02180000000000011
iid,11,8,0.021950000000000115
iid,12,1,0.02280000000000014
iid,12,2,0.021700000000000108
iid,12,4,0.021700000000000108
iid,12,8,0.021550000000000104
iid,13,1,0.021500000000000102
iid,13,2,0.02180000000000011
iid,13,4,0.02180000000000011
iid,13,8,0.021900000000000114
iid,14,1,0.02250000000000013
iid,14,2,0.021650000000000107
iid,14,4,0.021650000000000107
iid,14,8,0.021650000000000107
iid,15,1,0.022750000000000138
iid,15,2,0.022200000000000122
iid,15,4,0.02175000000000011
iid,15,8,0.021900000000000114
iid,16,1,0.02385000000000017
iid,16,2,0.022250000000000124
iid,16,4,0.022250000000000124
iid,16,8,0.022000000000000117
iid,17,1,0.022700000000000137
iid,17,2,0.021700000000000108
iid,17,4,0.021700000000000108
iid,17,8,0.021600000000000105
iid,18,1,0.023250000000000152
iid,18,2,0.021850000000000112
iid,18,4,0.021600000000000105
iid,18,8,0.021550000000000104
iid,19,1,0.022700000000000137
