model,k,n_seeds,speedup_mean,speedup_ci_low,speedup_ci_high,speedup_min,speedup_max
onoff,1,100,1.0,1.0,1.0,1.0,1.0
onoff,2,100,1.237308008349939,1.1637308910942807,1.3097217688605387,0.47097480832419997,1.9934497816593124
onoff,4,100,1.370894594026226,1.2772776884142527,1.4698953311555194,0.47097480832419997,3.197898423817763
onoff,8,100,1.4561564182587887,1.336078559354889,1.582964986215724,0.44421487603305193,3.9609544468545566
iid,1,100,1.0,1.0,1.0,1.0,1.0
iid,2,100,1.0324572726185774,1.02641884726069,1.0383837504979565,0.9750566893424031,1.0993227990970678
iid,4,100,1.0373552505466588,1.0308291321428176,1.0439487812084043,0.9750566893424031,1.1195402298850603
iid,8,100,1.038701539357586,1.0311791215506199,1.0460954555630966,0.9619686800894846,1.1203703703703731
hot_spot,1,100,1.0,1.0,1.0,1.0,1.0
hot_spot,2,100,1.5722683426199169,1.4545948019787482,1.688326349939906,0.39377289377288804,2.0576923076921996
hot_spot,4,100,1.771626967218986,1.6191778154567753,1.9308225357125823,0.39377289377288804,3.6216216216214576
hot_spot,8,100,1.9479439380504993,1.7249866350710223,2.162479257013736,0.3173431734317326,4.298387096774015
microburst,1,100,1.0,1.0,1.0,1.0,1.0
microburst,2,100,1.019673019720293,1.0170360449047275,1.0223481512795505,0.9953703703703702,1.0416666666666676
microburst,4,100,1.0195094295343032,1.0168499477715733,1.0222386195801325,0.9953703703703702,1.0440835266821356
microburst,8,100,1.0194905797921228,1.0167537818560415,1.0223371275043405,0.9930715935334872,1.0440835266821356
