model,seed,k,completion_time_s
onoff,0,1,0.08289999999999903
onoff,0,2,0.06530000000000097
onoff,0,4,0.04130000000000067
onoff,0,8,0.029650000000000336
onoff,1,1,0.07424999999999998
onoff,1,2,0.04445000000000076
onoff,1,4,0.0353500000000005
onoff,1,8,0.03015000000000035
onoff,2,1,0.08629999999999866
onoff,2,2,0.06015000000000121
onoff,2,4,0.04370000000000074
onoff,2,8,0.03250000000000042
onoff,3,1,0.08094999999999924
onoff,3,2,0.039700000000000624
onoff,3,4,0.04130000000000067
onoff,3,8,0.028550000000000304
onoff,4,1,0.09439999999999776
onoff,4,2,0.05695000000000112
onoff,4,4,0.050950000000000946
onoff,4,8,0.040100000000000635
onoff,5,1,0.08474999999999883
onoff,5,2,0.06730000000000075
onoff,5,4,0.034550000000000476
onoff,5,8,0.030050000000000347
onoff,6,1,0.07879999999999948
onoff,6,2,0.0424500000000007
onoff,6,4,0.03570000000000051
onoff,6,8,0.032400000000000415
onoff,7,1,0.0995499999999972
onoff,7,2,0.052900000000001
onoff,7,4,0.03920000000000061
onoff,7,8,0.030600000000000363
onoff,8,1,0.13464999999999333
onoff,8,2,0.0758499999999998
onoff,8,4,0.04260000000000071
onoff,8,8,0.02945000000000033
onoff,9,1,0.09844999999999732
onoff,9,2,0.05910000000000118
onoff,9,4,0.03825000000000058
onoff,9,8,0.02975000000000034
onoff,10,1,0.07175000000000026
onoff,10,2,0.05470000000000105
onoff,10,4,0.04015000000000064
onoff,10,8,0.03080000000000037
onoff,11,1,0.07739999999999964
onoff,11,2,0.04660000000000082
onoff,11,4,0.03475000000000048
onoff,11,8,0.03295000000000043
onoff,12,1,0.09419999999999779
onoff,12,2,0.047050000000000834
onoff,12,4,0.03745000000000056
onoff,12,8,0.02700000000000026
onoff,13,1,0.08244999999999908
onoff,13,2,0.0640500000000011
onoff,13,4,0.04545000000000079
onoff,13,8,0.04265000000000071
onoff,14,1,0.08509999999999879
onoff,14,2,0.050950000000000946
onoff,14,4,0.043600000000000735
onoff,14,8,0.03370000000000045
onoff,15,1,0.0895499999999983
onoff,15,2,0.062050000000001264
onoff,15,4,0.03930000000000061
onoff,15,8,0.03860000000000059
onoff,16,1,0.08159999999999917
onoff,16,2,0.05150000000000096
onoff,16,4,0.038750000000000596
onoff,16,8,0.030650000000000364
onoff,17,1,0.07390000000000002
onoff,17,2,0.07984999999999937
onoff,17,4,0.05525000000000107
onoff,17,8,0.04120000000000067
onoff,18,1,0.10424999999999668
onoff,18,2,0.054800000000001056
onoff,18,4,0.04130000000000067
onoff,18,8,0.026800000000000254
onoff,19,1,0.09374999999999784
onoff,19,2,0.05460000000000105
onoff,19,4,0.03610000000000052
onoff,19,8,0.0319000000000004
onoff,20,1,0.10339999999999677
onoff,20,2,0.05325000000000101
onoff,20,4,0.04335000000000073
onoff,20,8,0.02765000000000028
onoff,21,1,0.0995499999999972
onoff,21,2,0.0493500000000009
onoff,21,4,0.03260000000000042
onoff,21,8,0.03010000000000035
onoff,22,1,0.1077499999999963
onoff,22,2,0.10324999999999679
onoff,22,4,0.07215000000000021
onoff,22,8,0.03435000000000047
onoff,23,1,0.10449999999999665
onoff,23,2,0.055100000000001065
onoff,23,4,0.04480000000000077
onoff,23,8,0.03340000000000044
onoff,24,1,0.08419999999999889
onoff,24,2,0.045350000000000786
onoff,24,4,0.04350000000000073
onoff,24,8,0.028900000000000314
onoff,25,1,0.08244999999999908
onoff,25,2,0.04690000000000083
onoff,25,4,0.0319500000000004
onoff,25,8,0.02950000000000033
onoff,26,1,0.07984999999999937
onoff,26,2,0.05320000000000101
onoff,26,4,0.03465000000000048
onoff,26,8,0.033500000000000446
onoff,27,1,0.11894999999999506
onoff,27,2,0.06395000000000112
onoff,27,4,0.04085000000000066
onoff,27,8,0.032100000000000406
onoff,28,1,0.07624999999999976
onoff,28,2,0.05885000000000117
onoff,28,4,0.05495000000000106
onoff,28,8,0.03230000000000041
onoff,29,1,0.10424999999999668
onoff,29,2,0.050950000000000946
onoff,29,4,0.04715000000000084
onoff,29,8,0.04715000000000084
onoff,30,1,0.09384999999999782
onoff,30,2,0.06350000000000117
onoff,30,4,0.054400000000001045
onoff,30,8,0.031000000000000374
onoff,31,1,0.09389999999999782
onoff,31,2,0.054750000000001055
onoff,31,4,0.037600000000000564
onoff,31,8,0.03570000000000051
onoff,32,1,0.09014999999999823
onoff,32,2,0.062400000000001274
onoff,32,4,0.03565000000000051
onoff,32,8,0.03580000000000051
onoff,33,1,0.09414999999999779
onoff,33,2,0.0668000000000008
onoff,33,4,0.03430000000000047
onoff,33,8,0.028650000000000307
onoff,34,1,0.09784999999999738
onoff,34,2,0.05320000000000101
onoff,34,4,0.05085000000000094
onoff,34,8,0.030400000000000357
onoff,35,1,0.11984999999999496
onoff,35,2,0.06350000000000117
onoff,35,4,0.03620000000000052
onoff,35,8,0.031750000000000396
onoff,36,1,0.09334999999999788
onoff,36,2,0.06810000000000066
onoff,36,4,0.05430000000000104
onoff,36,8,0.03585000000000051
onoff,37,1,0.09739999999999743
onoff,37,2,0.09739999999999743
onoff,37,4,0.07549999999999985
onoff,37,8,0.045650000000000794
onoff,38,1,0.08569999999999872
onoff,38,2,0.06880000000000058
onoff,38,4,0.038050000000000576
onoff,38,8,0.029650000000000336
onoff,39,1,0.07999999999999935
onoff,39,2,0.08544999999999875
onoff,39,4,0.03995000000000063
onoff,39,8,0.031400000000000386
onoff,40,1,0.1004499999999971
onoff,40,2,0.08219999999999911
onoff,40,4,0.044600000000000764
onoff,40,8,0.030750000000000367
onoff,41,1,0.08704999999999857
onoff,41,2,0.06220000000000127
onoff,41,4,0.05780000000000114
onoff,41,8,0.035600000000000506
onoff,42,1,0.09329999999999788
