model,k,n_seeds,speedup_mean,speedup_ci_low,speedup_ci_high,speedup_min,speedup_max
onoff,1,100,1.0,1.0,1.0,1.0,1.0
onoff,2,100,1.582118947897434,1.525451259048934,1.6430718488939817,0.9254852849092123,2.08673978065792
onoff,4,100,2.169798864911283,2.0830605747089295,2.2610405493304393,1.2217025257249714,3.427419354838554
onoff,8,100,2.778916533783276,2.672479380344744,2.8898347453962057,1.793689320388321,4.572156196943695
iid,1,100,1.0,1.0,1.0,1.0,1.0
iid,2,100,1.2126763504938927,1.149082030277617,1.2853888323950793,0.729999999999996,2.000000000000022
iid,4,100,1.3000784901405635,1.2282680085267765,1.38051787761492,0.9195612431444227,2.1300448430493533
iid,8,100,1.329505639953573,1.256504770314301,1.4104865534861182,1.0765765765765782,2.1839080459770392
hot_spot,1,100,1.0,1.0,1.0,1.0,1.0
hot_spot,2,100,1.5545819140864743,1.499248560289085,1.6134494201411813,0.9301830566198431,2.029092983456835
hot_spot,4,100,2.2418804728816752,2.1464005732823694,2.340048921114046,0.9278131634819583,3.710160427807187
hot_spot,8,100,3.0510923786424873,2.933871388875732,3.180625453187271,1.374213836477949,5.558599695585561
microburst,1,100,1.0,1.0,1.0,1.0,1.0
microburst,2,100,1.183907280536796,1.1147145093299904,1.262751557913262,0.6787330316742032,2.000000000000023
microburst,4,100,1.2428134525664265,1.1666182731672314,1.3273685856169377,0.8438661710037145,2.0578703703703956
microburst,8,100,1.2542730718345458,1.1769159778134706,1.340720685728723,1.0323325635103935,2.053240740740766
