seed,run_type,duration_ticks,completion_s,mean_k
4,dur2_k1,2,0.021500000000000102,1.0
4,dur2_k8,2,0.026750000000000253,8.0
4,dur2_adaptDef,2,0.021500000000000102,1
4,dur20_k1,20,0.021500000000000102,1.0
4,dur20_k8,20,0.027600000000000277,8.0
4,dur20_adaptDef,20,0.021500000000000102,1
4,dur100_k1,100,0.021500000000000102,1.0
4,dur100_k8,100,0.028650000000000307,8.0
4,dur100_adaptDef,100,0.021500000000000102,1
4,dur2_k2,2,0.021500000000000102,2.0
4,dur2_k4,2,0.03115000000000038,4.0
4,dur2_adaptCD5,2,0.021500000000000102,1
4,dur2_adaptCD2,2,0.021500000000000102,1
4,dur2_adaptCD1,2,0.021500000000000102,1
4,dur2_adaptAggr,2,0.021500000000000102,1
2,dur2_k1,2,0.021500000000000102,1.0
2,dur2_k8,2,0.032400000000000415,8.0
2,dur2_adaptDef,2,0.021500000000000102,1
2,dur20_k1,20,0.021500000000000102,1.0
2,dur20_k8,20,0.03335000000000044,8.0
2,dur20_adaptDef,20,0.021500000000000102,1
2,dur100_k1,100,0.021500000000000102,1.0
2,dur100_k8,100,0.03435000000000047,8.0
2,dur100_adaptDef,100,0.021500000000000102,1
2,dur2_k2,2,0.02880000000000031,2.0
2,dur2_k4,2,0.030750000000000367,4.0
2,dur2_adaptCD5,2,0.021500000000000102,1
2,dur2_adaptCD2,2,0.021500000000000102,1
2,dur2_adaptCD1,2,0.021500000000000102,1
2,dur2_adaptAggr,2,0.021500000000000102,1
5,dur2_k1,2,0.04030000000000064,1.0
5,dur2_k8,2,0.02630000000000024,8.0
5,dur2_adaptDef,2,0.03270000000000042,1.1875
5,dur20_k1,20,0.04050000000000065,1.0
5,dur20_k8,20,0.026400000000000243,8.0
5,dur20_adaptDef,20,0.03270000000000042,1.1875
5,dur100_k1,100,0.03985000000000063,1.0
5,dur100_k8,100,0.02630000000000024,8.0
5,dur100_adaptDef,100,0.02740000000000027,1.125
5,dur2_k2,2,0.03020000000000035,2.0
5,dur2_k4,2,0.03020000000000035,4.0
5,dur2_adaptCD5,2,0.02880000000000031,1.3125
5,dur2_adaptCD2,2,0.026200000000000237,1.4375
5,dur2_adaptCD1,2,0.025700000000000223,1.4375
5,dur2_adaptAggr,2,0.025750000000000224,1.4375
8,dur2_k1,2,0.0388000000000006,1.0
8,dur2_k8,2,0.02630000000000024,8.0
8,dur2_adaptDef,2,0.031400000000000386,1.1875
8,dur20_k1,20,0.03620000000000052,1.0
8,dur20_k8,20,0.02660000000000025,8.0
8,dur20_adaptDef,20,0.03090000000000037,1.125
8,dur100_k1,100,0.05310000000000101,1.0
8,dur100_k8,100,0.030350000000000356,8.0
8,dur100_adaptDef,100,0.03570000000000051,1.1875
8,dur2_k2,2,0.028500000000000303,2.0
8,dur2_k4,2,0.02600000000000023,4.0
8,dur2_adaptCD5,2,0.027850000000000284,1.3125
8,dur2_adaptCD2,2,0.02565000000000022,1.375
8,dur2_adaptCD1,2,0.025100000000000205,1.4375
8,dur2_adaptAggr,2,0.02600000000000023,1.4375
7,dur2_k1,2,0.03950000000000062,1.0
7,dur2_k8,2,0.02945000000000033,8.0
7,dur2_adaptDef,2,0.03460000000000048,1.375
7,dur20_k1,20,0.03715000000000055,1.0
7,dur20_k8,20,0.02740000000000027,8.0
7,dur20_adaptDef,20,0.03445000000000047,1.3125
7,dur100_k1,100,0.044950000000000774,1.0
7,dur100_k8,100,0.02665000000000025,8.0
7,dur100_adaptDef,100,0.0354000000000005,1.3125
7,dur2_k2,2,0.04455000000000076,2.0
7,dur2_k4,2,0.03020000000000035,4.0
7,dur2_adaptCD5,2,0.03125000000000038,1.6875
7,dur2_adaptCD2,2,0.02800000000000029,1.875
7,dur2_adaptCD1,2,0.027450000000000273,1.875
7,dur2_adaptAggr,2,0.029950000000000344,1.875
9,dur2_k1,2,0.04065000000000065,1.0
9,dur2_k8,2,0.03440000000000047,8.0
9,dur2_adaptDef,2,0.036650000000000536,1.1875
9,dur20_k1,20,0.0319000000000004,1.0
9,dur20_k8,20,0.0319500000000004,8.0
9,dur20_adaptDef,20,0.030650000000000364,1.125
9,dur100_k1,100,0.044250000000000754,1.0
9,dur100_k8,100,0.04055000000000065,8.0
9,dur100_adaptDef,100,0.03950000000000062,1.1875
9,dur2_k2,2,0.03585000000000051,2.0
9,dur2_k4,2,0.03585000000000051,4.0
9,dur2_adaptCD5,2,0.03515000000000049,1.375
9,dur2_adaptCD2,2,0.03435000000000047,1.4375
9,dur2_adaptCD1,2,0.034150000000000465,1.4375
9,dur2_adaptAggr,2,0.03410000000000046,1.4375
0,dur2_k1,2,0.03960000000000062,1.0
0,dur2_k8,2,0.03445000000000047,8.0
0,dur2_adaptDef,2,0.037000000000000546,1.375
0,dur20_k1,20,0.04435000000000076,1.0
0,dur20_k8,20,0.03610000000000052,8.0
0,dur20_adaptDef,20,0.03920000000000061,1.3125
0,dur100_k1,100,0.044250000000000754,1.0
0,dur100_k8,100,0.029350000000000327,8.0
0,dur100_adaptDef,100,0.03685000000000054,1.375
0,dur2_k2,2,0.035550000000000505,2.0
0,dur2_k4,2,0.035550000000000505,4.0
0,dur2_adaptCD5,2,0.03500000000000049,1.6875
0,dur2_adaptCD2,2,0.034500000000000475,1.875
0,dur2_adaptCD1,2,0.03445000000000047,1.875
0,dur2_adaptAggr,2,0.03445000000000047,1.875
1,dur2_k1,2,0.0640500000000011,1.0
1,dur2_k8,2,0.02915000000000032,8.0
1,dur2_adaptDef,2,0.04015000000000064,1.3125
1,dur20_k1,20,0.060300000000001214,1.0
1,dur20_k8,20,0.027850000000000284,8.0
1,dur20_adaptDef,20,0.040050000000000634,1.3125
1,dur100_k1,100,0.0563000000000011,1.0
1,dur100_k8,100,0.02775000000000028,8.0
1,dur100_adaptDef,100,0.03755000000000056,1.3125
1,dur2_k2,2,0.04065000000000065,2.0
1,dur2_k4,2,0.04065000000000065,4.0
1,dur2_adaptCD5,2,0.03265000000000042,1.625
1,dur2_adaptCD2,2,0.029300000000000326,1.6875
1,dur2_adaptCD1,2,0.027250000000000267,1.75
1,dur2_adaptAggr,2,0.029200000000000323,1.875
6,dur2_k1,2,0.0640500000000011,1.0
6,dur2_k8,2,0.03255000000000042,8.0
6,dur2_adaptDef,2,0.03820000000000058,1.375
6,dur20_k1,20,0.056900000000001116,1.0
6,dur20_k8,20,0.035200000000000495,8.0
6,dur20_adaptDef,20,0.03815000000000058,1.375
6,dur100_k1,100,0.06535000000000096,1.0
6,dur100_k8,100,0.028900000000000314,8.0
6,dur100_adaptDef,100,0.03600000000000052,1.3125
6,dur2_k2,2,0.04435000000000076,2.0
6,dur2_k4,2,0.03435000000000047,4.0
6,dur2_adaptCD5,2,0.03340000000000044,1.75
6,dur2_adaptCD2,2,0.03270000000000042,1.875
6,dur2_adaptCD1,2,0.03255000000000042,1.875
6,dur2_adaptAggr,2,0.03255000000000042,1.875
3,dur2_k1,2,0.06650000000000084,1.0
3,dur2_k8,2,0.037250000000000554,8.0
3,dur2_adaptDef,2,0.04790000000000086,1.25
3,dur20_k1,20,0.06085000000000123,1.0
3,dur20_k8,20,0.03475000000000048,8.0
3,dur20_adaptDef,20,0.04335000000000073,1.25
3,dur100_k1,100,0.06380000000000113,1.0
3,dur100_k8,100,0.039050000000000605,8.0
3,dur100_adaptDef,100,0.045350000000000786,1.25
3,dur2_k2,2,0.046350000000000814,2.0
3,dur2_k4,2,0.046350000000000814,4.0
3,dur2_adaptCD5,2,0.04140000000000067,1.4375
3,dur2_adaptCD2,2,0.039100000000000606,1.4375
3,dur2_adaptCD1,2,0.03815000000000058,1.4375
3,dur2_adaptAggr,2,0.03815000000000058,1.4375
10,dur2_k1,2,0.021500000000000102,1.0
10,dur2_k8,2,0.030750000000000367,8.0
10,dur2_adaptDef,2,0.021500000000000102,1
10,dur20_k1,20,0.021500000000000102,1.0
10,dur20_k8,20,0.03215000000000041,8.0
10,dur20_adaptDef,20,0.021500000000000102,1
10,dur100_k1,100,0.021500000000000102,1.0
10,dur100_k8,100,0.026750000000000253,8.0
10,dur100_adaptDef,100,0.021500000000000102,1
10,dur2_k2,2,0.028650000000000307,2.0
10,dur2_k4,2,0.028650000000000307,4.0
