run_type,speedup_mean,ci_low,ci_high,mean_k
dur2_k1,1.0,1.0,1.0,1.0
dur2_k8,1.2964201210120587,1.2310037334671273,1.3635351745897395,8.0
dur2_adaptDef,1.1950729742528687,1.166781369212436,1.2250402063155958,1.1903125
dur20_k1,1.0,1.0,1.0,1.0
dur20_k8,1.2938607386759748,1.2281364054183648,1.3630564744987075,8.0
dur20_adaptDef,1.19453722783254,1.1644926510201974,1.225664115216887,1.1853125
dur100_k1,1.0,1.0,1.0,1.0
dur100_k8,1.2818862320084958,1.209923215637022,1.3561076396496257,8.0
dur100_adaptDef,1.1969898046234126,1.1629155900014927,1.2328184695914908,1.1646875
dur2_k2,1.128317045931197,1.0903899066624523,1.165991575664316,2.0
dur2_k4,1.2103269486611752,1.1634900662605792,1.2578856665022167,4.0
dur2_adaptCD5,1.303144662553002,1.261485016819808,1.3462994475514627,1.3540625
dur2_adaptCD2,1.3721326014719433,1.3210342508659312,1.4258324356809406,1.4303125
dur2_adaptCD1,1.394551214499283,1.3401132565543725,1.4522987190116061,1.443125
dur2_adaptAggr,1.387254613022149,1.333998378047589,1.4427646691855922,1.453125
