fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
3tier_nb,16,0,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
3tier_nb,16,0,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,59,2
3tier_nb,16,0,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,109,2
3tier_nb,16,0,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,219,2
3tier_os2,16,0,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,30,1
3tier_os2,16,0,2,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,59,2
3tier_os2,16,0,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,109,2
3tier_os2,16,0,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,219,2
3tier_os4,16,0,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,30,1
3tier_os4,16,0,2,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,59,2
3tier_os4,16,0,4,0.010749999999999963,0.008589934592,0.25146470963954504,7812500000.0,109,2
3tier_os4,16,0,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,219,2
2tier,16,0,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
2tier,16,0,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,51,2
2tier,16,0,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,89,3
2tier,16,0,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,122,5
3tier_nb,64,0,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,116,2
3tier_nb,64,0,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,228,2
3tier_nb,64,0,4,0.006749999999999987,0.006316128376470588,0.0686926543712596,10625000000.0,418,4
3tier_nb,64,0,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,748,4
3tier_os2,64,0,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,116,2
3tier_os2,64,0,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,228,2
3tier_os2,64,0,4,0.010749999999999963,0.008589934592,0.25146470963954504,7812500000.0,418,4
3tier_os2,64,0,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,748,4
3tier_os4,64,0,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,116,2
3tier_os4,64,0,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,228,2
3tier_os4,64,0,4,0.021500000000000102,0.01227133513142857,0.7520505934953774,5468750000.0,418,4
3tier_os4,64,0,8,0.010749999999999963,0.0075793540517647045,0.4183266709248179,8854166666.666668,748,4
2tier,64,0,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,99,3
2tier,64,0,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,157,4
2tier,64,0,4,0.009399999999999971,0.007911781861052632,0.1881015130451711,8482142857.142857,216,7
2tier,64,0,8,0.007399999999999983,0.006471868528219179,0.14341012456200053,10369318181.81818,248,11
3tier_nb,16,4,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
3tier_nb,16,4,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,59,2
3tier_nb,16,4,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,115,2
3tier_nb,16,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,224,3
3tier_os2,16,4,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,30,1
3tier_os2,16,4,2,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,59,2
3tier_os2,16,4,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,115,2
3tier_os2,16,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,224,3
3tier_os4,16,4,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,30,1
3tier_os4,16,4,2,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,59,2
3tier_os4,16,4,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,115,2
3tier_os4,16,4,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,224,3
2tier,16,4,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
2tier,16,4,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,51,3
2tier,16,4,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,75,4
2tier,16,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,117,7
3tier_nb,64,4,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,118,2
3tier_nb,64,4,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,228,2
3tier_nb,64,4,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,427,3
3tier_nb,64,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,763,4
3tier_os2,64,4,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,118,2
3tier_os2,64,4,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,228,2
3tier_os2,64,4,4,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,427,3
3tier_os2,64,4,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,763,4
3tier_os4,64,4,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,118,2
